"";"Site";"Year";"Plot";"Species";"log_flow";"snowmelt_DOY";"lag_Temp_fall";"Temp_summer";"log_lag_flow"
"1";"Nuuk";2008;"N_ERI1";"ERI";0,357674444271816;NA;-4,461;9,199;NA
"2";"Nuuk";2008;"N_ERI2";"ERI";1,28923264827676;NA;-4,461;9,199;NA
"3";"Nuuk";2008;"N_ERI3";"ERI";0,959350221334602;NA;-4,461;9,199;NA
"4";"Nuuk";2008;"N_ERI4";"ERI";2,94074796522123;NA;-4,461;9,199;NA
"5";"Nuuk";2008;"N_LOI2";"LOI";6,83044217587947;NA;-4,461;9,199;NA
"6";"Nuuk";2008;"N_LOI3";"LOI";5,38054230680371;NA;-4,461;9,199;NA
"7";"Nuuk";2008;"N_SAL1";"SAL_female";2,75047091698616;NA;-4,461;9,199;NA
"8";"Nuuk";2008;"N_SAL1";"SAL_male";2,95073490762326;NA;-4,461;9,199;NA
"9";"Nuuk";2008;"N_SAL2";"SAL_female";2,56340971127594;NA;-4,461;9,199;NA
"10";"Nuuk";2008;"N_SAL2";"SAL_male";1,79508725932073;NA;-4,461;9,199;NA
"11";"Nuuk";2008;"N_SAL3";"SAL_female";2,17475172148416;NA;-4,461;9,199;NA
"12";"Nuuk";2008;"N_SAL3";"SAL_male";0,0392207131532813;NA;-4,461;9,199;NA
"13";"Nuuk";2008;"N_SAL4";"SAL_male";4,71983726096622;NA;-4,461;9,199;NA
"14";"Nuuk";2008;"N_SIL1";"SIL";1,30562645805244;NA;-4,461;9,199;NA
"15";"Nuuk";2008;"N_SIL2";"SIL";0,751416088683921;NA;-4,461;9,199;NA
"16";"Nuuk";2009;"N_ERI1";"ERI";2,11625551480255;NA;0,864;8,798;0,357674444271816
"17";"Nuuk";2009;"N_ERI2";"ERI";0,756121979721334;NA;0,864;8,798;1,28923264827676
"18";"Nuuk";2009;"N_ERI3";"ERI";1,01884732019925;NA;0,864;8,798;0,959350221334602
"19";"Nuuk";2009;"N_ERI4";"ERI";3,31527631915452;NA;0,864;8,798;2,94074796522123
"20";"Nuuk";2009;"N_LOI1";"LOI";5,91857122158766;159,757908138282;0,864;8,798;NA
"21";"Nuuk";2009;"N_LOI2";"LOI";7,4186608995483;164,290274295551;0,864;8,798;6,83044217587947
"22";"Nuuk";2009;"N_LOI3";"LOI";4,07431190847186;167,804319181572;0,864;8,798;5,38054230680371
"23";"Nuuk";2009;"N_LOI4";"LOI";6,47953829882779;NA;0,864;8,798;NA
"24";"Nuuk";2009;"N_SAL1";"SAL_female";1,89009536994892;161,641525052569;0,864;8,798;2,75047091698616
"25";"Nuuk";2009;"N_SAL1";"SAL_male";2,11745960886736;161,641525052569;0,864;8,798;2,95073490762326
"26";"Nuuk";2009;"N_SAL2";"SAL_female";1,8196988379173;160,651545734622;0,864;8,798;2,56340971127594
"27";"Nuuk";2009;"N_SAL2";"SAL_male";0,148420005118273;160,651545734622;0,864;8,798;1,79508725932073
"28";"Nuuk";2009;"N_SAL3";"SAL_female";1,38128181929635;153,426666518979;0,864;8,798;2,17475172148416
"29";"Nuuk";2009;"N_SAL3";"SAL_male";0,693147180559945;153,426666518979;0,864;8,798;0,0392207131532813
"30";"Nuuk";2009;"N_SAL4";"SAL_male";3,84052700372308;150,026178848771;0,864;8,798;4,71983726096622
"31";"Nuuk";2009;"N_SIL2";"SIL";3,14069804380418;162,375913773509;0,864;8,798;0,751416088683921
"32";"Nuuk";2009;"N_SIL3";"SIL";3,16758253048065;162,768933603163;0,864;8,798;NA
"33";"Nuuk";2009;"N_SIL4";"SIL";2,59525470695687;160,358837893682;0,864;8,798;NA
"34";"Nuuk";2010;"N_ERI1";"ERI";1,48160454092422;NA;-1,538;10,405;2,11625551480255
"35";"Nuuk";2010;"N_ERI2";"ERI";1,41098697371026;NA;-1,538;10,405;0,756121979721334
"36";"Nuuk";2010;"N_ERI3";"ERI";0,524728528934982;NA;-1,538;10,405;1,01884732019925
"37";"Nuuk";2010;"N_ERI4";"ERI";3,33790253128984;NA;-1,538;10,405;3,31527631915452
"38";"Nuuk";2010;"N_LOI1";"LOI";-6,90775527898214;139,75;-1,538;10,405;5,91857122158766
"39";"Nuuk";2010;"N_LOI2";"LOI";-6,90775527898214;132,223433242507;-1,538;10,405;7,4186608995483
"40";"Nuuk";2010;"N_LOI3";"LOI";-6,90775527898214;NA;-1,538;10,405;4,07431190847186
"41";"Nuuk";2010;"N_LOI4";"LOI";5,0541416824054;NA;-1,538;10,405;6,47953829882779
"42";"Nuuk";2010;"N_SAL1";"SAL_female";-6,90775527898214;129,060567823344;-1,538;10,405;1,89009536994892
"43";"Nuuk";2010;"N_SAL1";"SAL_male";-6,90775527898214;129,060567823344;-1,538;10,405;2,11745960886736
"44";"Nuuk";2010;"N_SAL2";"SAL_female";-6,90775527898214;NA;-1,538;10,405;1,8196988379173
"45";"Nuuk";2010;"N_SAL2";"SAL_male";-6,90775527898214;NA;-1,538;10,405;0,148420005118273
"46";"Nuuk";2010;"N_SAL3";"SAL_female";-6,90775527898214;NA;-1,538;10,405;1,38128181929635
"47";"Nuuk";2010;"N_SAL3";"SAL_male";-6,90775527898214;NA;-1,538;10,405;0,693147180559945
"48";"Nuuk";2010;"N_SAL4";"SAL_male";-6,90775527898214;NA;-1,538;10,405;3,84052700372308
"49";"Nuuk";2010;"N_SIL1";"SIL";-6,90775527898214;136,457847961133;-1,538;10,405;1,30562645805244
"50";"Nuuk";2010;"N_SIL2";"SIL";-6,90775527898214;NA;-1,538;10,405;3,14069804380418
"51";"Nuuk";2010;"N_SIL3";"SIL";-6,90775527898214;NA;-1,538;10,405;3,16758253048065
"52";"Nuuk";2010;"N_SIL4";"SIL";-6,90775527898214;139,705620465768;-1,538;10,405;2,59525470695687
"53";"Nuuk";2011;"N_ERI1";"ERI";-6,90775527898214;NA;3,949;8,336;1,48160454092422
"54";"Nuuk";2011;"N_ERI2";"ERI";-6,90775527898214;NA;3,949;8,336;1,41098697371026
"55";"Nuuk";2011;"N_ERI3";"ERI";-6,90775527898214;NA;3,949;8,336;0,524728528934982
"56";"Nuuk";2011;"N_ERI4";"ERI";-6,90775527898214;NA;3,949;8,336;3,33790253128984
"57";"Nuuk";2011;"N_LOI1";"LOI";-6,90775527898214;167,994982806246;3,949;8,336;-6,90775527898214
"58";"Nuuk";2011;"N_LOI2";"LOI";-6,90775527898214;165,568893040635;3,949;8,336;-6,90775527898214
"59";"Nuuk";2011;"N_LOI3";"LOI";-6,90775527898214;167,186345831002;3,949;8,336;-6,90775527898214
"60";"Nuuk";2011;"N_LOI4";"LOI";-6,90775527898214;NA;3,949;8,336;5,0541416824054
"61";"Nuuk";2011;"N_SAL1";"SAL_female";-6,90775527898214;166,301942529765;3,949;8,336;-6,90775527898214
"62";"Nuuk";2011;"N_SAL1";"SAL_male";-6,90775527898214;166,301942529765;3,949;8,336;-6,90775527898214
"63";"Nuuk";2011;"N_SAL2";"SAL_female";-6,90775527898214;NA;3,949;8,336;-6,90775527898214
"64";"Nuuk";2011;"N_SAL2";"SAL_male";-6,90775527898214;NA;3,949;8,336;-6,90775527898214
"65";"Nuuk";2011;"N_SAL3";"SAL_female";-6,90775527898214;NA;3,949;8,336;-6,90775527898214
"66";"Nuuk";2011;"N_SAL3";"SAL_male";-6,90775527898214;NA;3,949;8,336;-6,90775527898214
"67";"Nuuk";2011;"N_SAL4";"SAL_male";-6,90775527898214;NA;3,949;8,336;-6,90775527898214
"68";"Nuuk";2011;"N_SIL1";"SIL";-6,90775527898214;164,133769878391;3,949;8,336;-6,90775527898214
"69";"Nuuk";2011;"N_SIL2";"SIL";-6,90775527898214;NA;3,949;8,336;-6,90775527898214
"70";"Nuuk";2011;"N_SIL3";"SIL";-6,90775527898214;NA;3,949;8,336;-6,90775527898214
"71";"Nuuk";2011;"N_SIL4";"SIL";-6,90775527898214;169,350013747594;3,949;8,336;-6,90775527898214
"72";"Nuuk";2012;"N_ERI1";"ERI";1,48613969608961;NA;-1,697;10,516;-6,90775527898214
"73";"Nuuk";2012;"N_ERI2";"ERI";-6,90775527898214;NA;-1,697;10,516;-6,90775527898214
"74";"Nuuk";2012;"N_ERI3";"ERI";-6,90775527898214;NA;-1,697;10,516;-6,90775527898214
"75";"Nuuk";2012;"N_ERI4";"ERI";-2,65926003693278;NA;-1,697;10,516;-6,90775527898214
"76";"Nuuk";2012;"N_LOI1";"LOI";2,25863320546486;145,332686567164;-1,697;10,516;-6,90775527898214
"77";"Nuuk";2012;"N_LOI2";"LOI";2,74727091425549;158,173784977909;-1,697;10,516;-6,90775527898214
"78";"Nuuk";2012;"N_LOI3";"LOI";-0,0512932943875506;159;-1,697;10,516;-6,90775527898214
"79";"Nuuk";2012;"N_LOI4";"LOI";4,05543046872288;NA;-1,697;10,516;-6,90775527898214
"80";"Nuuk";2012;"N_SAL1";"SAL_female";-3,2188758248682;154,970997075672;-1,697;10,516;-6,90775527898214
"81";"Nuuk";2012;"N_SAL1";"SAL_male";-1,96611285637283;154,970997075672;-1,697;10,516;-6,90775527898214
"82";"Nuuk";2012;"N_SAL2";"SAL_female";-6,90775527898214;153,756313131313;-1,697;10,516;-6,90775527898214
"83";"Nuuk";2012;"N_SAL2";"SAL_male";-6,90775527898214;153,756313131313;-1,697;10,516;-6,90775527898214
"84";"Nuuk";2012;"N_SAL3";"SAL_female";-6,90775527898214;NA;-1,697;10,516;-6,90775527898214
"85";"Nuuk";2012;"N_SAL3";"SAL_male";-6,90775527898214;NA;-1,697;10,516;-6,90775527898214
"86";"Nuuk";2012;"N_SAL4";"SAL_male";2,98568193770049;NA;-1,697;10,516;-6,90775527898214
"87";"Nuuk";2012;"N_SIL1";"SIL";2,54553127160443;157,332645338837;-1,697;10,516;-6,90775527898214
"88";"Nuuk";2012;"N_SIL2";"SIL";3,83837646525985;154,16213249706;-1,697;10,516;-6,90775527898214
"89";"Nuuk";2012;"N_SIL3";"SIL";3,44105891508729;154,266906923883;-1,697;10,516;-6,90775527898214
"90";"Nuuk";2012;"N_SIL4";"SIL";4,15700632334681;157,062570409768;-1,697;10,516;-6,90775527898214
"91";"Nuuk";2013;"N_ERI1";"ERI";0,438254930931155;NA;2,2;8,417;1,48613969608961
"92";"Nuuk";2013;"N_ERI2";"ERI";1,28923264827676;NA;2,2;8,417;-6,90775527898214
"93";"Nuuk";2013;"N_ERI3";"ERI";-1,66073120682165;NA;2,2;8,417;-6,90775527898214
"94";"Nuuk";2013;"N_ERI4";"ERI";1,36353737399727;NA;2,2;8,417;-2,65926003693278
"95";"Nuuk";2013;"N_LOI1";"LOI";4,48525988931553;146,394694733848;2,2;8,417;2,25863320546486
"96";"Nuuk";2013;"N_LOI3";"LOI";0,357674444271816;157,014971885374;2,2;8,417;-0,0512932943875506
"97";"Nuuk";2013;"N_LOI4";"LOI";5,3451055280468;NA;2,2;8,417;4,05543046872288
"98";"Nuuk";2013;"N_SAL1";"SAL_female";1,41585316336144;146,633073399308;2,2;8,417;-3,2188758248682
"99";"Nuuk";2013;"N_SAL1";"SAL_male";0,978326122793608;146,633073399308;2,2;8,417;-1,96611285637283
"100";"Nuuk";2013;"N_SAL2";"SAL_female";2,02287119019144;147,402113750392;2,2;8,417;-6,90775527898214
"101";"Nuuk";2013;"N_SAL2";"SAL_male";2,91885122921803;147,402113750392;2,2;8,417;-6,90775527898214
"102";"Nuuk";2013;"N_SAL3";"SAL_female";0,357674444271816;159,241529063245;2,2;8,417;-6,90775527898214
"103";"Nuuk";2013;"N_SAL3";"SAL_male";-0,139262067333508;159,241529063245;2,2;8,417;-6,90775527898214
"104";"Nuuk";2013;"N_SAL4";"SAL_male";3,32143241319329;146,846370871524;2,2;8,417;2,98568193770049
"105";"Nuuk";2013;"N_SIL1";"SIL";3,83880694309689;151,326118326118;2,2;8,417;2,54553127160443
"106";"Nuuk";2013;"N_SIL2";"SIL";3,29657733253205;146,472390225476;2,2;8,417;3,83837646525985
"107";"Nuuk";2013;"N_SIL3";"SIL";3,7244878815813;149,072874493927;2,2;8,417;3,44105891508729
"108";"Nuuk";2013;"N_SIL4";"SIL";3,86765305769221;153,187509850006;2,2;8,417;4,15700632334681
"109";"Nuuk";2014;"N_ERI1";"ERI";2,25863320546486;NA;0,695;10,337;0,438254930931155
"110";"Nuuk";2014;"N_ERI2";"ERI";0,378436435720245;NA;0,695;10,337;1,28923264827676
"111";"Nuuk";2014;"N_ERI3";"ERI";-1,56064774826467;NA;0,695;10,337;-1,66073120682165
"112";"Nuuk";2014;"N_ERI4";"ERI";3,16209381076922;NA;0,695;10,337;1,36353737399727
"113";"Nuuk";2014;"N_LOI1";"LOI";6,41653618485506;151,560513036822;0,695;10,337;4,48525988931553
"114";"Nuuk";2014;"N_LOI2";"LOI";7,308140841347;159,083333333333;0,695;10,337;2,74727091425549
"115";"Nuuk";2014;"N_LOI3";"LOI";4,47574463854763;162,292773116881;0,695;10,337;0,357674444271816
"116";"Nuuk";2014;"N_LOI4";"LOI";6,06378520868761;NA;0,695;10,337;5,3451055280468
"117";"Nuuk";2014;"N_SAL1";"SAL_female";1,7263316639056;156,800197392291;0,695;10,337;1,41585316336144
"118";"Nuuk";2014;"N_SAL1";"SAL_male";1,84213567655312;156,800197392291;0,695;10,337;0,978326122793608
"119";"Nuuk";2014;"N_SAL2";"SAL_female";2,79116510781272;155,321646092807;0,695;10,337;2,02287119019144
"120";"Nuuk";2014;"N_SAL2";"SAL_male";2,19944433407453;155,321646092807;0,695;10,337;2,91885122921803
"121";"Nuuk";2014;"N_SAL3";"SAL_female";3,00864849882054;118,317460317461;0,695;10,337;0,357674444271816
"122";"Nuuk";2014;"N_SAL3";"SAL_male";0,993251773010283;118,317460317461;0,695;10,337;-0,139262067333508
"123";"Nuuk";2014;"N_SAL4";"SAL_male";4,60716818865076;145,242788185266;0,695;10,337;3,32143241319329
"124";"Nuuk";2014;"N_SIL1";"SIL";4,49691660054784;159,101041995579;0,695;10,337;3,83880694309689
"125";"Nuuk";2014;"N_SIL2";"SIL";3,90761329693945;156,201683326248;0,695;10,337;3,29657733253205
"126";"Nuuk";2014;"N_SIL3";"SIL";3,78713982328146;157,800768378693;0,695;10,337;3,7244878815813
"127";"Nuuk";2014;"N_SIL4";"SIL";4,37235501497715;155,859170867195;0,695;10,337;3,86765305769221
"128";"Nuuk";2015;"N_ERI1";"ERI";0,832909122935104;NA;0,323;8,144;2,25863320546486
"129";"Nuuk";2015;"N_ERI2";"ERI";-0,0408219945202552;NA;0,323;8,144;0,378436435720245
"130";"Nuuk";2015;"N_ERI3";"ERI";-4,60517018598809;NA;0,323;8,144;-1,56064774826467
"131";"Nuuk";2015;"N_ERI4";"ERI";2,16676536985151;NA;0,323;8,144;3,16209381076922
"132";"Nuuk";2015;"N_LOI1";"LOI";6,06814777187894;NA;0,323;8,144;6,41653618485506
"133";"Nuuk";2015;"N_LOI2";"LOI";7,92342064682932;177,8;0,323;8,144;7,308140841347
"134";"Nuuk";2015;"N_LOI3";"LOI";4,7155480934577;181;0,323;8,144;4,47574463854763
"135";"Nuuk";2015;"N_LOI4";"LOI";6,61421608704596;NA;0,323;8,144;6,06378520868761
"136";"Nuuk";2015;"N_SAL1";"SAL_female";1,09861228866811;175,932905258568;0,323;8,144;1,7263316639056
"137";"Nuuk";2015;"N_SAL1";"SAL_male";0,173953307123438;175,932905258568;0,323;8,144;1,84213567655312
"138";"Nuuk";2015;"N_SAL2";"SAL_female";2,09433015417359;NA;0,323;8,144;2,79116510781272
"139";"Nuuk";2015;"N_SAL2";"SAL_male";1,44691898293633;NA;0,323;8,144;2,19944433407453
"140";"Nuuk";2015;"N_SAL3";"SAL_female";2,33020026002702;NA;0,323;8,144;3,00864849882054
"141";"Nuuk";2015;"N_SAL3";"SAL_male";-0,616186139423817;NA;0,323;8,144;0,993251773010283
"142";"Nuuk";2015;"N_SAL4";"SAL_male";3,17178421733435;NA;0,323;8,144;4,60716818865076
"143";"Nuuk";2015;"N_SIL1";"SIL";3,14630513203337;NA;0,323;8,144;4,49691660054784
"144";"Nuuk";2015;"N_SIL2";"SIL";0,587786664902119;175,666666666667;0,323;8,144;3,90761329693945
"145";"Nuuk";2015;"N_SIL3";"SIL";2,43711598595165;NA;0,323;8,144;3,78713982328146
"146";"Nuuk";2015;"N_SIL4";"SIL";1,81156209652423;NA;0,323;8,144;4,37235501497715
"147";"Nuuk";2016;"N_ERI1";"ERI";1,68268837417369;NA;-1,44;9,834;0,832909122935104
"148";"Nuuk";2016;"N_ERI2";"ERI";-0,510825623765991;NA;-1,44;9,834;-0,0408219945202552
"149";"Nuuk";2016;"N_ERI3";"ERI";-1,17118298150295;NA;-1,44;9,834;-4,60517018598809
"150";"Nuuk";2016;"N_ERI4";"ERI";1,9643112344262;NA;-1,44;9,834;2,16676536985151
"151";"Nuuk";2016;"N_LOI1";"LOI";5,85461336435878;NA;-1,44;9,834;6,06814777187894
"152";"Nuuk";2016;"N_LOI2";"LOI";7,34368492789412;NA;-1,44;9,834;7,92342064682932
"153";"Nuuk";2016;"N_LOI3";"LOI";4,41715243664926;144,774547017117;-1,44;9,834;4,7155480934577
"154";"Nuuk";2016;"N_LOI4";"LOI";6,11478776313998;NA;-1,44;9,834;6,61421608704596
"155";"Nuuk";2016;"N_SAL1";"SAL_female";2,06432790386979;NA;-1,44;9,834;1,09861228866811
"156";"Nuuk";2016;"N_SAL1";"SAL_male";0,993251773010283;NA;-1,44;9,834;0,173953307123438
"157";"Nuuk";2016;"N_SAL2";"SAL_female";2,58399755243223;NA;-1,44;9,834;2,09433015417359
"158";"Nuuk";2016;"N_SAL2";"SAL_male";1,60341984010854;NA;-1,44;9,834;1,44691898293633
"159";"Nuuk";2016;"N_SAL3";"SAL_female";2,16332302566054;NA;-1,44;9,834;2,33020026002702
"160";"Nuuk";2016;"N_SAL3";"SAL_male";0;NA;-1,44;9,834;-0,616186139423817
"161";"Nuuk";2016;"N_SAL4";"SAL_male";3,78532535238219;NA;-1,44;9,834;3,17178421733435
"162";"Nuuk";2016;"N_SIL1";"SIL";4,08479914937857;NA;-1,44;9,834;3,14630513203337
"163";"Nuuk";2016;"N_SIL2";"SIL";2,65745841498615;NA;-1,44;9,834;0,587786664902119
"164";"Nuuk";2016;"N_SIL3";"SIL";1,8229350866965;NA;-1,44;9,834;2,43711598595165
"165";"Nuuk";2016;"N_SIL4";"SIL";3,09421922026864;NA;-1,44;9,834;1,81156209652423
"166";"Nuuk";2017;"N_ERI1";"ERI";-0,083381608939051;NA;-0,059;8,422;1,68268837417369
"167";"Nuuk";2017;"N_ERI2";"ERI";-1,13943428318836;NA;-0,059;8,422;-0,510825623765991
"168";"Nuuk";2017;"N_ERI3";"ERI";-6,90775527898214;NA;-0,059;8,422;-1,17118298150295
"169";"Nuuk";2017;"N_ERI4";"ERI";0,647103242058538;NA;-0,059;8,422;1,9643112344262
"170";"Nuuk";2017;"N_LOI1";"LOI";6,40630226146281;NA;-0,059;8,422;5,85461336435878
"171";"Nuuk";2017;"N_LOI2";"LOI";8,21294803866499;164,389010735311;-0,059;8,422;7,34368492789412
"172";"Nuuk";2017;"N_LOI3";"LOI";5,26196453708224;174,666666666667;-0,059;8,422;4,41715243664926
"173";"Nuuk";2017;"N_LOI4";"LOI";6,52392934597745;NA;-0,059;8,422;6,11478776313998
"174";"Nuuk";2017;"N_SAL1";"SAL_female";1,99333884262642;161,153205031065;-0,059;8,422;2,06432790386979
"175";"Nuuk";2017;"N_SAL1";"SAL_male";0,672944473242426;161,153205031065;-0,059;8,422;0,993251773010283
"176";"Nuuk";2017;"N_SAL2";"SAL_female";2,84141491316963;NA;-0,059;8,422;2,58399755243223
"177";"Nuuk";2017;"N_SAL2";"SAL_male";2,089391872533;NA;-0,059;8,422;1,60341984010854
"178";"Nuuk";2017;"N_SAL3";"SAL_female";2,73954886816158;NA;-0,059;8,422;2,16332302566054
"179";"Nuuk";2017;"N_SAL3";"SAL_male";-6,90775527898214;NA;-0,059;8,422;0
"180";"Nuuk";2017;"N_SAL4";"SAL_male";3,57094015624925;NA;-0,059;8,422;3,78532535238219
"181";"Nuuk";2017;"N_SIL1";"SIL";3,53631085546933;167,482204010097;-0,059;8,422;4,08479914937857
"182";"Nuuk";2017;"N_SIL2";"SIL";3,52488885400471;NA;-0,059;8,422;2,65745841498615
"183";"Nuuk";2017;"N_SIL3";"SIL";3,11706455872152;NA;-0,059;8,422;1,8229350866965
"184";"Nuuk";2017;"N_SIL4";"SIL";2,80154054418955;153,703955763505;-0,059;8,422;3,09421922026864
"185";"Nuuk";2018;"N_ERI1";"ERI";2,35612585992208;NA;1,067;7,732;-0,083381608939051
"186";"Nuuk";2018;"N_ERI2";"ERI";2,00417905717929;NA;1,067;7,732;-1,13943428318836
"187";"Nuuk";2018;"N_ERI3";"ERI";-0,693147180559945;NA;1,067;7,732;-6,90775527898214
"188";"Nuuk";2018;"N_ERI4";"ERI";2,46470394247048;NA;1,067;7,732;0,647103242058538
"189";"Nuuk";2018;"N_LOI1";"LOI";6,0333260012029;NA;1,067;7,732;6,40630226146281
"190";"Nuuk";2018;"N_LOI2";"LOI";7,38187542373971;NA;1,067;7,732;8,21294803866499
"191";"Nuuk";2018;"N_LOI3";"LOI";5,40222682993855;174,59249033683;1,067;7,732;5,26196453708224
"192";"Nuuk";2018;"N_LOI4";"LOI";6,31934642055777;NA;1,067;7,732;6,52392934597745
"193";"Nuuk";2018;"N_SAL1";"SAL_female";1,95160817016995;NA;1,067;7,732;1,99333884262642
"194";"Nuuk";2018;"N_SAL1";"SAL_male";1,42069578783722;NA;1,067;7,732;0,672944473242426
"195";"Nuuk";2018;"N_SAL2";"SAL_female";2,54396141256932;NA;1,067;7,732;2,84141491316963
"196";"Nuuk";2018;"N_SAL2";"SAL_male";1,59330853050422;NA;1,067;7,732;2,089391872533
"197";"Nuuk";2018;"N_SAL3";"SAL_female";2,36368019235386;NA;1,067;7,732;2,73954886816158
"198";"Nuuk";2018;"N_SAL3";"SAL_male";-1,20397280432594;NA;1,067;7,732;-6,90775527898214
"199";"Nuuk";2018;"N_SAL4";"SAL_male";4,15496918403854;NA;1,067;7,732;3,57094015624925
"200";"Nuuk";2018;"N_SIL1";"SIL";3,79188720418817;NA;1,067;7,732;3,53631085546933
"201";"Nuuk";2018;"N_SIL2";"SIL";3,91760738372205;NA;1,067;7,732;3,52488885400471
"202";"Nuuk";2018;"N_SIL3";"SIL";3,74667655284015;NA;1,067;7,732;3,11706455872152
"203";"Nuuk";2018;"N_SIL4";"SIL";3,87078425741155;NA;1,067;7,732;2,80154054418955
"204";"Nuuk";2019;"N_ERI1";"ERI";1,10525683138678;NA;-1,074;9,848;2,35612585992208
"205";"Nuuk";2019;"N_ERI2";"ERI";1,30833281965018;NA;-1,074;9,848;2,00417905717929
"206";"Nuuk";2019;"N_ERI3";"ERI";-0,941608539858445;NA;-1,074;9,848;-0,693147180559945
"207";"Nuuk";2019;"N_ERI4";"ERI";2,16447179086441;NA;-1,074;9,848;2,46470394247048
"208";"Nuuk";2019;"N_LOI1";"LOI";5,66136198099445;NA;-1,074;9,848;6,0333260012029
"209";"Nuuk";2019;"N_LOI2";"LOI";7,55213229517265;140,418604651163;-1,074;9,848;7,38187542373971
"210";"Nuuk";2019;"N_LOI3";"LOI";5,19561996830969;154,785714285714;-1,074;9,848;5,40222682993855
"211";"Nuuk";2019;"N_LOI4";"LOI";6,29465695992295;NA;-1,074;9,848;6,31934642055777
"212";"Nuuk";2019;"N_SAL1";"SAL_female";1,85629799036563;NA;-1,074;9,848;1,95160817016995
"213";"Nuuk";2019;"N_SAL1";"SAL_male";2,13416644136908;NA;-1,074;9,848;1,42069578783722
"214";"Nuuk";2019;"N_SAL2";"SAL_female";2,38784493694487;NA;-1,074;9,848;2,54396141256932
"215";"Nuuk";2019;"N_SAL2";"SAL_male";1,92278773163446;NA;-1,074;9,848;1,59330853050422
"216";"Nuuk";2019;"N_SAL3";"SAL_female";2,07693841146172;NA;-1,074;9,848;2,36368019235386
"217";"Nuuk";2019;"N_SAL3";"SAL_male";-0,371063681390832;NA;-1,074;9,848;-1,20397280432594
"218";"Nuuk";2019;"N_SAL4";"SAL_male";3,63363097988346;NA;-1,074;9,848;4,15496918403854
"219";"Nuuk";2019;"N_SIL1";"SIL";3,48981857331568;NA;-1,074;9,848;3,79188720418817
"220";"Nuuk";2019;"N_SIL2";"SIL";3,2699490950522;NA;-1,074;9,848;3,91760738372205
"221";"Nuuk";2019;"N_SIL3";"SIL";3,61118814639806;NA;-1,074;9,848;3,74667655284015
"222";"Nuuk";2019;"N_SIL4";"SIL";3,40352799700044;NA;-1,074;9,848;3,87078425741155
"223";"Nuuk";2020;"N_ERI1";"ERI";0,438254930931155;NA;NA;NA;1,10525683138678
