"";"Site";"Year";"Plot";"Species";"log_flow";"snowmelt_DOY";"lag_Temp_fall";"Temp_summer";"log_lag_flow"
"1";"High_Arctic";1996;"Cas1";"CAS";6,54391184556479;170,48987854251;-10,018;4,058;NA
"2";"High_Arctic";1996;"Cas2";"CAS";6,37616556586342;172,852071005917;-10,018;4,058;NA
"3";"High_Arctic";1996;"Cas3";"CAS";6,04737217904628;173,20618556701;-10,018;4,058;NA
"4";"High_Arctic";1996;"Cas4";"CAS";6,3919171133926;174,386683738796;-10,018;4,058;NA
"5";"High_Arctic";1996;"Dry1";"DRY";4,90712491772659;NA;-10,018;4,058;NA
"6";"High_Arctic";1996;"Dry2";"DRY";2,93810316071735;176,782122905028;-10,018;4,058;NA
"7";"High_Arctic";1996;"Dry3";"DRY";5,5683445037611;163,833333333333;-10,018;4,058;NA
"8";"High_Arctic";1996;"Dry4";"DRY";3,20558793054127;NA;-10,018;4,058;NA
"9";"High_Arctic";1996;"Dry5";"DRY";3,78418963391826;167,011834319527;-10,018;4,058;NA
"10";"High_Arctic";1996;"Dry6";"DRY";2,80032547721138;174,29799124522;-10,018;4,058;NA
"11";"High_Arctic";1996;"Pap1";"PAP";2,002830439308;173,93218024579;-10,018;4,058;NA
"12";"High_Arctic";1996;"Pap2";"PAP";2,11142458753289;174,386683738796;-10,018;4,058;NA
"13";"High_Arctic";1996;"Pap3";"PAP";1,84213567655312;174,188247874128;-10,018;4,058;NA
"14";"High_Arctic";1996;"Pap4";"PAP";1,54756250871601;174,29799124522;-10,018;4,058;NA
"15";"High_Arctic";1996;"Sal1";"SAL_male";2,67069441455844;NA;-10,018;4,058;NA
"16";"High_Arctic";1996;"Sal1";"SAL_female";2,95854948242628;NA;-10,018;4,058;NA
"17";"High_Arctic";1996;"Sal2";"SAL_male";1,28923264827676;168,496251874063;-10,018;4,058;NA
"18";"High_Arctic";1996;"Sal2";"SAL_female";1,72097928716701;168,496251874063;-10,018;4,058;NA
"19";"High_Arctic";1996;"Sal3";"SAL_male";2,66374994220563;163,009829619921;-10,018;4,058;NA
"20";"High_Arctic";1996;"Sal3";"SAL_female";2,13060982825424;163,009829619921;-10,018;4,058;NA
"21";"High_Arctic";1996;"Sal4";"SAL_male";2,278292400425;173,511278195489;-10,018;4,058;NA
"22";"High_Arctic";1996;"Sal4";"SAL_female";2,15524450509534;173,511278195489;-10,018;4,058;NA
"23";"High_Arctic";1996;"Sax1";"SAX";4,40501047106426;NA;-10,018;4,058;NA
"24";"High_Arctic";1996;"Sax2";"SAX";4,46014441393783;NA;-10,018;4,058;NA
"25";"High_Arctic";1996;"Sax3";"SAX";3,98713047791495;NA;-10,018;4,058;NA
"26";"High_Arctic";1996;"Sil1";"SIL";3,60712695224168;NA;-10,018;4,058;NA
"27";"High_Arctic";1996;"Sil2";"SIL";4,4208867058806;NA;-10,018;4,058;NA
"28";"High_Arctic";1996;"Sil3";"SIL";3,57794789340665;NA;-10,018;4,058;NA
"29";"High_Arctic";1996;"Sil4";"SIL";5,6021188208797;176;-10,018;4,058;NA
"30";"High_Arctic";1997;"Cas1";"CAS";6,83357038079276;165,277777777778;-8,772;3,678;6,54391184556479
"31";"High_Arctic";1997;"Cas2";"CAS";5,21672762950808;171,5;-8,772;3,678;6,37616556586342
"32";"High_Arctic";1997;"Cas3";"CAS";5,98015078720771;171,5;-8,772;3,678;6,04737217904628
"33";"High_Arctic";1997;"Cas4";"CAS";4,87771323959707;168,892718753891;-8,772;3,678;6,3919171133926
"34";"High_Arctic";1997;"Dry1";"DRY";3,74950407593037;NA;-8,772;3,678;4,90712491772659
"35";"High_Arctic";1997;"Dry2";"DRY";1,57484646766448;175,061383717699;-8,772;3,678;2,93810316071735
"36";"High_Arctic";1997;"Dry3";"DRY";3,97029191355212;NA;-8,772;3,678;5,5683445037611
"37";"High_Arctic";1997;"Dry4";"DRY";3,28952066443753;161,544910179641;-8,772;3,678;3,20558793054127
"38";"High_Arctic";1997;"Dry5";"DRY";3,06805293513362;161;-8,772;3,678;3,78418963391826
"39";"High_Arctic";1997;"Dry6";"DRY";2,15059873599616;178,281477505284;-8,772;3,678;2,80032547721138
"40";"High_Arctic";1997;"Pap1";"PAP";1,25846098961001;170,169002945954;-8,772;3,678;2,002830439308
"41";"High_Arctic";1997;"Pap2";"PAP";1,89461685466776;171,175691173326;-8,772;3,678;2,11142458753289
"42";"High_Arctic";1997;"Pap3";"PAP";1,43746264769429;168,371566443949;-8,772;3,678;1,84213567655312
"43";"High_Arctic";1997;"Pap4";"PAP";1,13462272619114;178,281477505284;-8,772;3,678;1,54756250871601
"44";"High_Arctic";1997;"Sal1";"SAL_male";2,8320361808832;NA;-8,772;3,678;2,67069441455844
"45";"High_Arctic";1997;"Sal1";"SAL_female";3,1561489949599;NA;-8,772;3,678;2,95854948242628
"46";"High_Arctic";1997;"Sal2";"SAL_male";1,52822785700856;170,908176890004;-8,772;3,678;1,28923264827676
"47";"High_Arctic";1997;"Sal2";"SAL_female";1,99605993274078;170,908176890004;-8,772;3,678;1,72097928716701
"48";"High_Arctic";1997;"Sal3";"SAL_male";2,52091708731103;164,401850038725;-8,772;3,678;2,66374994220563
"49";"High_Arctic";1997;"Sal3";"SAL_female";2,02551319965428;164,401850038725;-8,772;3,678;2,13060982825424
"50";"High_Arctic";1997;"Sal4";"SAL_male";1,87793716546911;162,359517510591;-8,772;3,678;2,278292400425
"51";"High_Arctic";1997;"Sal4";"SAL_female";1,66392609771817;162,359517510591;-8,772;3,678;2,15524450509534
"52";"High_Arctic";1997;"Sax1";"SAX";3,05116698044209;NA;-8,772;3,678;4,40501047106426
"53";"High_Arctic";1997;"Sax2";"SAX";4,18205014264121;NA;-8,772;3,678;4,46014441393783
"54";"High_Arctic";1997;"Sax3";"SAX";3,50254987592244;NA;-8,772;3,678;3,98713047791495
"55";"High_Arctic";1997;"Sil1";"SIL";4,07022262010169;NA;-8,772;3,678;3,60712695224168
"56";"High_Arctic";1997;"Sil2";"SIL";4,48107980075704;NA;-8,772;3,678;4,4208867058806
"57";"High_Arctic";1997;"Sil3";"SIL";3,09557760852371;NA;-8,772;3,678;3,57794789340665
"58";"High_Arctic";1997;"Sil4";"SIL";6,20253551718792;175;-8,772;3,678;5,6021188208797
"59";"High_Arctic";1998;"Cas1";"CAS";5,08759633523238;167,974353486116;-11,041;3,422;6,83357038079276
"60";"High_Arctic";1998;"Cas2";"CAS";1,99197551589856;174,872237443896;-11,041;3,422;5,21672762950808
"61";"High_Arctic";1998;"Cas3";"CAS";2,91777073208428;171,482462034883;-11,041;3,422;5,98015078720771
"62";"High_Arctic";1998;"Cas4";"CAS";2,23323501485925;171,456022634614;-11,041;3,422;4,87771323959707
"63";"High_Arctic";1998;"Dry1";"DRY";4,03865565636151;NA;-11,041;3,422;3,74950407593037
"64";"High_Arctic";1998;"Dry2";"DRY";0,53062825106217;179,287687301013;-11,041;3,422;1,57484646766448
"65";"High_Arctic";1998;"Dry3";"DRY";4,85592890433527;164,472819665189;-11,041;3,422;3,97029191355212
"66";"High_Arctic";1998;"Dry4";"DRY";2,52572864430826;168;-11,041;3,422;3,28952066443753
"67";"High_Arctic";1998;"Dry5";"DRY";3,4913427315135;162,498209375629;-11,041;3,422;3,06805293513362
"68";"High_Arctic";1998;"Dry6";"DRY";0,104360015324243;179,182186764307;-11,041;3,422;2,15059873599616
"69";"High_Arctic";1998;"Pap1";"PAP";1,03318448334565;171,716066874469;-11,041;3,422;1,25846098961001
"70";"High_Arctic";1998;"Pap2";"PAP";1,13462272619114;172,350331550802;-11,041;3,422;1,89461685466776
"71";"High_Arctic";1998;"Pap3";"PAP";1,37624402526639;171,543977365386;-11,041;3,422;1,43746264769429
"72";"High_Arctic";1998;"Pap4";"PAP";0,631271776841858;179,182186764307;-11,041;3,422;1,13462272619114
"73";"High_Arctic";1998;"Sal1";"SAL_male";0,717839793150317;NA;-11,041;3,422;2,8320361808832
"74";"High_Arctic";1998;"Sal1";"SAL_female";1,24703229378638;NA;-11,041;3,422;3,1561489949599
"75";"High_Arctic";1998;"Sal2";"SAL_male";0,364643113587909;173,131607905277;-11,041;3,422;1,52822785700856
