Date	Photo_no	Observer	Plot	Section	Snow	Cloud_cover	TotalCount	Remarks
2008-07-15	ERI1_080715	JoNy/KaRa	Eri1	A	0	0	16	No remarks
2008-07-15	ERI1_080715	JoNy/KaRa	Eri1	B	0	0	17	No remarks
2008-07-15	ERI1_080715	JoNy/KaRa	Eri1	C	0	0	6	No remarks
2008-07-15	ERI1_080715	JoNy/KaRa	Eri1	D	0	0	18	No remarks
2008-07-15	ERI2_080715	JoNy/KaRa	Eri2	A	0	0	79	No remarks
2008-07-15	ERI2_080715	JoNy/KaRa	Eri2	B	0	0	74	No remarks
2008-07-15	ERI2_080715	JoNy/KaRa	Eri2	C	0	0	96	No remarks
2008-07-15	ERI2_080715	JoNy/KaRa	Eri2	D	0	0	114	No remarks
2008-07-15	ERI3_080715	JoNy/KaRa	Eri3	A	0	0	347	No remarks
2008-07-15	ERI3_080715	JoNy/KaRa	Eri3	B	0	0	136	No remarks
2008-07-15	ERI3_080715	JoNy/KaRa	Eri3	C	0	0	26	No remarks
2008-07-15	ERI3_080715	JoNy/KaRa	Eri3	D	0	0	24	No remarks
2008-07-15	ERI4_080715	JoNy/KaRa	Eri4	A	0	0	152	No remarks
2008-07-15	ERI4_080715	JoNy/KaRa	Eri4	B	0	0	219	No remarks
2008-07-15	ERI4_080715	JoNy/KaRa	Eri4	C	0	0	261	No remarks
2008-07-15	ERI4_080715	JoNy/KaRa	Eri4	D	0	0	220	No remarks
2009-07-21	NA	JoNy/R.Berg/N.Christensen	Eri1	A	0	0	52	No remarks
2009-07-21	NA	JoNy	Eri1	B	0	0	101	No remarks
2009-07-21	NA	JoNy	Eri1	C	0	0	94	No remarks
2009-07-21	NA	JoNy	Eri1	D	0	0	85	No remarks
2009-07-21	NA	JoNy	Eri2	A	0	0	84	No remarks
2009-07-21	NA	JoNy	Eri2	B	0	0	41	No remarks
2009-07-21	NA	JoNy	Eri2	C	0	0	42	No remarks
2009-07-21	NA	JoNy	Eri2	D	0	0	46	No remarks
