Site;Plot_orginal;Plot;Latitude;Longitude;Plot_sixe_m;Plot_size
Nuuk;ERI1;N_Eri1;64.1346;-51.3837;4*10;40
Nuuk;ERI2;N_Eri2;64.1312;-51.3873;10*10;100
Nuuk;ERI3;N_Eri3;64.1348;-51.3789;12*17;204
Nuuk;ERI4;N_Eri4;64.1333;-51.3666;5*9;45
Nuuk;SAL1;N_Sal1;64.1325;-51.3729;7*11;77
Nuuk;SAL2;N_Sal2;64.1316;-51.3714;8*8;64
Nuuk;SAL3;N_Sal3;64.1337;-51.3678;6*9;54
Nuuk;SAL4;N_Sal4;64.1374;-51.3741;4*5;20
Nuuk;SIL1;N_Sil1;64.1328;-51.3745;5.5*7;38.5
Nuuk;SIL2;N_Sil2;64.1364;-51.3703;11*11;121
Nuuk;SIL3;N_Sil3;6.4137;-51.3736;7*11;77
Nuuk;SIL4;N_Sil4;64.1361;-51.3681;5*12;60
Nuuk;LOI1;N_Loi1;64.1323;-51.3759;1.8*3.85;6.9
Nuuk;LOI2;N_Loi2;64.1316;-51.3705;1.7*2.95;5
Nuuk;LOI3;N_Loi3;64.1324;-51.3708;1.6*2.6;4.2
Nuuk;LOI4;N_Loi4;64.1328;-51.3702;1.6*3.0;4.8
