Date	Plot	Section	Buds	Flowers	Senescent	TotalFlowering	TotalCount	Field_remarks	General_remarks
1995-07-22	Cas2	A-D	-9999	-9999	-9999	-9999	NA	No data	No remarks
1995-07-22	Cas3	A	-9999	-9999	-9999	64	TOTALCOUNT	No remarks	Note: Only plot-level counts exists. The total number (256) has been divided equally between sections. Date is arbitrary.
1995-07-22	Cas3	A-D	0	44	58	-9999	NA	No remarks	No remarks
1995-07-22	Cas3	B	-9999	-9999	-9999	64	TOTALCOUNT	No remarks	Note: Only plot-level counts exists. The total number (256) has been divided equally between sections. Date is arbitrary.
1995-07-22	Cas3	C	-9999	-9999	-9999	64	TOTALCOUNT	No remarks	Note: Only plot-level counts exists. The total number (256) has been divided equally between sections. Date is arbitrary.
1995-07-22	Cas3	D	-9999	-9999	-9999	64	TOTALCOUNT	No remarks	Note: Only plot-level counts exists. The total number (256) has been divided equally between sections. Date is arbitrary.
1995-07-23	Cas1	B	-9999	-9999	-9999	330	TOTALCOUNT	No remarks	Note: Only plot-level counts exists. The total number (1321) has been divided equally between sections. Date is arbitrary.
1995-07-23	Cas1	C	-9999	-9999	-9999	330	TOTALCOUNT	No remarks	Note: Only plot-level counts exists. The total number (1321) has been divided equally between sections. Date is arbitrary.
1995-07-23	Cas1	D	-9999	-9999	-9999	330	TOTALCOUNT	No remarks	Note: Only plot-level counts exists. The total number (1321) has been divided equally between sections. Date is arbitrary.
1995-07-23	Cas1	A	-9999	-9999	-9999	330	TOTALCOUNT	No remarks	Note: Only plot-level counts exists. The total number (1321) has been divided equally between sections. Date is arbitrary.
1995-07-23	Cas1	A-D	0	1	1320	-9999	NA	No remarks	No remarks
1995-07-27	Cas4	A	-9999	-9999	-9999	114	TOTALCOUNT	No remarks	Note: Only plot-level counts exists. The total number (456) has been divided equally between sections. Date is arbitrary.
1995-07-27	Cas4	A-D	0	1	455	-9999	NA	No remarks	No remarks
1995-07-27	Cas4	B	-9999	-9999	-9999	114	TOTALCOUNT	No remarks	Note: Only plot-level counts exists. The total number (456) has been divided equally between sections. Date is arbitrary.
1995-07-27	Cas4	C	-9999	-9999	-9999	114	TOTALCOUNT	No remarks	Note: Only plot-level counts exists. The total number (456) has been divided equally between sections. Date is arbitrary.
1995-07-27	Cas4	D	-9999	-9999	-9999	114	TOTALCOUNT	No remarks	Note: Only plot-level counts exists. The total number (456) has been divided equally between sections. Date is arbitrary.
1995-08-05	Cas3	A-D	0	0	100	-9999	NA	No remarks	No remarks
1996-06-03	Cas1	A-D	0	0	0	-9999	NA	No remarks	No remarks
1996-06-03	Cas2	A-D	0	0	0	-9999	NA	No remarks	No remarks
