Date	Plot	Section	Buds	Flowers	Senescent	Open	TotalFlowering	TotalCount	Field_Remarks	General_remarks
1996-06-04	Sax2	A-D	19	141	0	0	-9999	NA	No remarks	No remarks
1996-06-10	Sax1	A-B	0	86	16	0	-9999	NA	No remarks	No remarks
1996-06-10	Sax1	C-D	-9999	-9999	-9999	-9999	-9999	NA	No remarks	No remarks
1996-06-10	Sax2	A-D	0	100	0	0	-9999	NA	No remarks	No remarks
1996-06-10	Sax3	A-D	58	46	0	0	-9999	NA	No remarks	No remarks
1996-06-17	Sax3	A-D	1	100	1	0	-9999	NA	No remarks	No remarks
1996-06-17	Sax1	A-B	0	12	163	0	-9999	NA	No remarks	No remarks
1996-06-17	Sax1	C-D	-9999	-9999	-9999	-9999	-9999	NA	No remarks	No remarks
1996-06-17	Sax2	A-D	1	22	128	0	-9999	NA	No remarks	No remarks
1996-06-20	Sax1	A-B	-9999	-9999	-9999	-9999	566	TOTALCOUNT	Note: Plot enlarged in 1997.	No remarks
1996-06-20	Sax1	C-D	-9999	-9999	-9999	-9999	-9999	TOTALCOUNT	Note: Plot enlarged in 1997.	No remarks
1996-06-20	Sax2	A-D	-9999	-9999	-9999	-9999	513	TOTALCOUNT	No remarks	No remarks
1996-06-20	Sax3	A-D	-9999	-9999	-9999	-9999	529	TOTALCOUNT	No remarks	No remarks
1996-06-24	Sax3	A-D	0	2	98	0	-9999	NA	No remarks	No remarks
1996-06-24	Sax1	A-B	0	1	149	0	-9999	NA	No remarks	No remarks
1996-06-24	Sax1	C-D	-9999	-9999	-9999	-9999	-9999	NA	No remarks	No remarks
1996-06-24	Sax2	A-D	0	0	100	0	-9999	NA	No remarks	No remarks
1996-07-01	Sax1	A-B	0	0	100	0	-9999	NA	No remarks	No remarks
1996-07-01	Sax1	C-D	-9999	-9999	-9999	-9999	-9999	NA	No remarks	No remarks
1996-07-01	Sax2	A-D	0	0	100	0	-9999	NA	No remarks	No remarks
1996-07-01	Sax3	A-D	0	0	100	0	-9999	NA	No remarks	No remarks
1996-07-08	Sax1	A-B	0	0	100	0	-9999	NA	No remarks	No remarks
1996-07-08	Sax1	C-D	-9999	-9999	-9999	-9999	-9999	NA	No remarks	No remarks
1996-07-08	Sax2	A-D	0	0	100	0	-9999	NA	No remarks	No remarks
1996-07-08	Sax3	A-D	0	0	100	0	-9999	NA	No remarks	No remarks
1996-07-15	Sax1	A-B	0	0	100	0	-9999	NA	No remarks	No remarks
1996-07-15	Sax1	C-D	-9999	-9999	-9999	-9999	-9999	NA	No remarks	No remarks
1996-07-15	Sax2	A-D	0	0	100	0	-9999	NA	No remarks	No remarks
1996-07-15	Sax3	A-D	0	0	100	0	-9999	NA	No remarks	No remarks
1996-07-22	Sax1	A-B	0	0	53	101	-9999	NA	No remarks	No remarks
1996-07-22	Sax1	C-D	-9999	-9999	-9999	-9999	-9999	NA	No remarks	No remarks
1996-07-22	Sax2	A-D	0	0	125	95	-9999	NA	No remarks	No remarks
1996-07-22	Sax3	A-D	0	0	100	0	-9999	NA	No remarks	No remarks
1996-07-29	Sax1	A-B	0	0	0	100	-9999	NA	No remarks	No remarks
1996-07-29	Sax1	C-D	-9999	-9999	-9999	-9999	-9999	NA	No remarks	No remarks
1996-07-29	Sax2	A-D	0	0	14	86	-9999	NA	No remarks	No remarks
1996-07-29	Sax3	A-D	0	0	150	1	-9999	NA	No remarks	No remarks
1996-08-05	Sax2	A-D	0	0	0	100	-9999	NA	No remarks	No remarks
1996-08-05	Sax3	A-D	0	0	110	56	-9999	NA	No remarks	No remarks
1996-08-12	Sax3	A-D	0	0	0	100	-9999	NA	No remarks	No remarks
1997-05-27	Sax1	B	15	3	0	0	-9999	NA	No remarks	No remarks
1997-05-27	Sax1	C	-9999	-9999	-9999	-9999	-9999	NA	No remarks	No remarks
1997-05-27	Sax1	D	-9999	-9999	-9999	-9999	-9999	NA	No remarks	No remarks
1997-05-27	Sax2	A	2	0	0	0	-9999	NA	No remarks	No remarks
1997-05-27	Sax1	A	10	1	0	0	-9999	NA	No remarks	No remarks
1997-05-27	Sax2	B	9	0	0	0	-9999	NA	No remarks	No remarks
1997-05-27	Sax2	C	16	0	0	0	-9999	NA	No remarks	No remarks
1997-05-27	Sax2	D	19	0	0	0	-9999	NA	No remarks	No remarks
1997-05-27	Sax3	A	50	1	0	0	-9999	NA	No remarks	No remarks
1997-05-27	Sax3	C	22	0	0	0	-9999	NA	No remarks	No remarks
1997-05-27	Sax3	D	38	0	0	0	-9999	NA	No remarks	No remarks
1997-05-27	Sax3	B	15	0	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sax1	A	16	36	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sax1	B	8	27	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sax2	C	15	35	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sax2	D	14	40	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sax3	A	21	49	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sax3	B	17	35	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sax1	C	-9999	-9999	-9999	-9999	-9999	NA	No remarks	No remarks
1997-06-03	Sax1	D	-9999	-9999	-9999	-9999	-9999	NA	No remarks	No remarks
1997-06-03	Sax2	A	15	21	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sax2	B	24	17	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sax3	C	19	45	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sax3	D	3	59	0	0	-9999	NA	No remarks	No remarks
1997-06-10	Sax1	C	1	24	2	0	-9999	NA	No remarks	Plot doubled in size to the south
1997-06-10	Sax1	D	0	20	4	0	-9999	NA	No remarks	Plot doubled in size to the south
1997-06-10	Sax2	A	6	31	1	0	-9999	NA	No remarks	No remarks
1997-06-10	Sax2	B	8	48	0	0	-9999	NA	No remarks	No remarks
1997-06-10	Sax2	C	7	46	0	0	-9999	NA	No remarks	No remarks
1997-06-10	Sax3	D	0	39	20	0	-9999	NA	No remarks	No remarks
1997-06-10	Sax1	A	1	22	4	0	-9999	NA	No remarks	Plot doubled in size to the south
1997-06-10	Sax1	B	0	28	6	0	-9999	NA	No remarks	Plot doubled in size to the south
1997-06-10	Sax2	D	7	41	1	0	-9999	NA	No remarks	No remarks
1997-06-10	Sax3	A	3	52	25	0	-9999	NA	No remarks	No remarks
1997-06-10	Sax3	B	6	35	9	0	-9999	NA	No remarks	No remarks
1997-06-10	Sax3	C	5	32	7	0	-9999	NA	No remarks	No remarks
1997-06-16	Sax1	A	-9999	-9999	-9999	-9999	31	TOTALCOUNT	No remarks	No remarks
1997-06-16	Sax1	B	-9999	-9999	-9999	-9999	48	TOTALCOUNT	No remarks	No remarks
1997-06-16	Sax1	C	-9999	-9999	-9999	-9999	44	TOTALCOUNT	No remarks	No remarks
1997-06-16	Sax2	D	-9999	-9999	-9999	-9999	101	TOTALCOUNT	No remarks	No remarks
1997-06-16	Sax3	A	-9999	-9999	-9999	-9999	173	TOTALCOUNT	No remarks	No remarks
