Date	Plot	Section	Buds	Flowers	Senescent	TotalFlowering	Field_remarks	General_remarks
1995-07-22	Cas3	A	-9999	-9999	-9999	64	No remarks	Note: Only plot-level counts exists. The total number (256) has been divided equally between sections. Date is arbitrary.
1995-07-22	Cas3	B	-9999	-9999	-9999	64	No remarks	Note: Only plot-level counts exists. The total number (256) has been divided equally between sections. Date is arbitrary.
1995-07-22	Cas3	C	-9999	-9999	-9999	64	No remarks	Note: Only plot-level counts exists. The total number (256) has been divided equally between sections. Date is arbitrary.
1995-07-22	Cas3	D	-9999	-9999	-9999	64	No remarks	Note: Only plot-level counts exists. The total number (256) has been divided equally between sections. Date is arbitrary.
1995-07-23	Cas1	A	-9999	-9999	-9999	330	No remarks	Note: Only plot-level counts exists. The total number (1321) has been divided equally between sections. Date is arbitrary.
1995-07-23	Cas1	B	-9999	-9999	-9999	330	No remarks	Note: Only plot-level counts exists. The total number (1321) has been divided equally between sections. Date is arbitrary.
1995-07-23	Cas1	C	-9999	-9999	-9999	330	No remarks	Note: Only plot-level counts exists. The total number (1321) has been divided equally between sections. Date is arbitrary.
1995-07-23	Cas1	D	-9999	-9999	-9999	330	No remarks	Note: Only plot-level counts exists. The total number (1321) has been divided equally between sections. Date is arbitrary.
1995-07-27	Cas4	A	-9999	-9999	-9999	114	No remarks	Note: Only plot-level counts exists. The total number (456) has been divided equally between sections. Date is arbitrary.
1995-07-27	Cas4	B	-9999	-9999	-9999	114	No remarks	Note: Only plot-level counts exists. The total number (456) has been divided equally between sections. Date is arbitrary.
1995-07-27	Cas4	C	-9999	-9999	-9999	114	No remarks	Note: Only plot-level counts exists. The total number (456) has been divided equally between sections. Date is arbitrary.
1995-07-27	Cas4	D	-9999	-9999	-9999	114	No remarks	Note: Only plot-level counts exists. The total number (456) has been divided equally between sections. Date is arbitrary.
1996-07-12	Cas1	A	-9999	-9999	-9999	347	No remarks	Note: Only plot-level counts exists. The total number (1386) has been divided equally between sections.
1996-07-12	Cas1	B	-9999	-9999	-9999	347	No remarks	Note: Only plot-level counts exists. The total number (1386) has been divided equally between sections.
1996-07-12	Cas1	C	-9999	-9999	-9999	347	No remarks	Note: Only plot-level counts exists. The total number (1386) has been divided equally between sections.
1996-07-12	Cas1	D	-9999	-9999	-9999	347	No remarks	Note: Only plot-level counts exists. The total number (1386) has been divided equally between sections.
1996-07-18	Cas2	A	-9999	-9999	-9999	440	No remarks	Note: Only plot-level counts exists. The total number (1759) has been divided equally between sections.
1996-07-18	Cas2	B	-9999	-9999	-9999	440	No remarks	Note: Only plot-level counts exists. The total number (1759) has been divided equally between sections.
1996-07-18	Cas2	C	-9999	-9999	-9999	440	No remarks	Note: Only plot-level counts exists. The total number (1759) has been divided equally between sections.
1996-07-18	Cas2	D	-9999	-9999	-9999	440	No remarks	Note: Only plot-level counts exists. The total number (1759) has been divided equally between sections.
1996-07-18	Cas3	A	-9999	-9999	-9999	211	No remarks	Note: Only plot-level counts exists. The total number (844) has been divided equally between sections.
1996-07-18	Cas3	B	-9999	-9999	-9999	211	No remarks	Note: Only plot-level counts exists. The total number (844) has been divided equally between sections.
1996-07-18	Cas3	C	-9999	-9999	-9999	211	No remarks	Note: Only plot-level counts exists. The total number (844) has been divided equally between sections.
1996-07-18	Cas3	D	-9999	-9999	-9999	211	No remarks	Note: Only plot-level counts exists. The total number (844) has been divided equally between sections.
1996-07-18	Cas4	A	-9999	-9999	-9999	447	No remarks	Note: Only plot-level counts exists. The total number (1789) has been divided equally between sections.
1996-07-18	Cas4	B	-9999	-9999	-9999	447	No remarks	Note: Only plot-level counts exists. The total number (1789) has been divided equally between sections.
1996-07-18	Cas4	C	-9999	-9999	-9999	447	No remarks	Note: Only plot-level counts exists. The total number (1789) has been divided equally between sections.
1996-07-18	Cas4	D	-9999	-9999	-9999	447	No remarks	Note: Only plot-level counts exists. The total number (1789) has been divided equally between sections.
1997-07-15	Cas1	A	-9999	-9999	-9999	665	No remarks	No remarks
1997-07-15	Cas1	B	-9999	-9999	-9999	325	No remarks	No remarks
1997-07-15	Cas1	C	-9999	-9999	-9999	504	No remarks	No remarks
1997-07-15	Cas1	D	-9999	-9999	-9999	361	No remarks	No remarks
1997-07-22	Cas2	A	-9999	-9999	-9999	90	No remarks	No remarks
1997-07-22	Cas2	B	-9999	-9999	-9999	135	No remarks	No remarks
1997-07-22	Cas2	C	-9999	-9999	-9999	163	No remarks	No remarks
1997-07-22	Cas2	D	-9999	-9999	-9999	162	No remarks	No remarks
1997-07-22	Cas3	A	-9999	-9999	-9999	218	No remarks	No remarks
1997-07-22	Cas3	B	-9999	-9999	-9999	223	No remarks	No remarks
1997-07-22	Cas3	C	-9999	-9999	-9999	224	No remarks	No remarks
1997-07-22	Cas3	D	-9999	-9999	-9999	124	No remarks	No remarks
1997-07-22	Cas4	A	-9999	-9999	-9999	16	No remarks	No remarks
1997-07-22	Cas4	B	-9999	-9999	-9999	31	No remarks	No remarks
1997-07-22	Cas4	C	-9999	-9999	-9999	148	No remarks	No remarks
1997-07-22	Cas4	D	-9999	-9999	-9999	196	No remarks	No remarks
1997-07-24	Cas5	A	-9999	-9999	-9999	203	No remarks	No remarks
1997-07-24	Cas5	B	-9999	-9999	-9999	294	No remarks	No remarks
1997-07-24	Cas5	C	-9999	-9999	-9999	365	No remarks	No remarks
1997-07-24	Cas5	D	-9999	-9999	-9999	362	No remarks	No remarks
1997-08-07	Cas6	A	4	70	7	81	No remarks	No remarks
1997-08-07	Cas6	B	1	92	21	114	No remarks	No remarks
1997-08-07	Cas6	C	3	57	13	73	No remarks	No remarks
1997-08-07	Cas6	D	3	65	14	82	No remarks	No remarks
1998-07-15	Cas1	A	32	111	0	143	No remarks	No remarks
1998-07-15	Cas1	B	24	98	0	122	No remarks	No remarks
1998-07-15	Cas1	C	2	31	0	33	No remarks	No remarks
1998-07-15	Cas1	D	3	21	0	24	No remarks	No remarks
1998-07-20	Cas5	A	22	54	1	77	No remarks	No remarks
