Date	Plot	Section	Buds	Male_flowers	Female_flowers	Seed_hairs	Total_Male	Total_Female	TotalCount	Field_remarks	General_remarks
1995-07-23	Sal3	A-D	-9999	-9999	204	49	239	253	TOTALCOUNT	No remarks	No remarks
1995-07-26	Sal1	A-D	-9999	-9999	117	8	-9999	-9999	NA	No remarks	No remarks
1995-07-28	Sal1	A-D	-9999	-9999	-9999	-9999	-9999	520	TOTALCOUNT	No remarks	No remarks
1995-07-28	Sal3	A-D	-9999	-9999	83	35	-9999	-9999	NA	No remarks	No remarks
1995-08-05	Sal1	A-D	-9999	-9999	80	23	-9999	-9999	NA	No remarks	No remarks
1995-08-05	Sal3	A-D	-9999	-9999	45	88	-9999	-9999	NA	No remarks	No remarks
1995-08-12	Sal1	A-D	-9999	-9999	17	88	-9999	-9999	NA	No remarks	No remarks
1995-08-12	Sal3	A-D	-9999	-9999	6	138	-9999	-9999	NA	No remarks	No remarks
1995-08-14	Sal2	A-D	-9999	-9999	45	110	-9999	617	TOTALCOUNT	No remarks	No remarks
1995-08-16	Sal4	A-D	-9999	-9999	35	201	-9999	1073	TOTALCOUNT	No remarks	No remarks
1995-08-19	Sal1	A-D	-9999	-9999	2	107	-9999	-9999	NA	No remarks	No remarks
1995-08-19	Sal2	A-D	-9999	-9999	10	96	-9999	-9999	NA	No remarks	No remarks
1995-08-19	Sal3	A-D	-9999	-9999	0	100	-9999	-9999	NA	No remarks	No remarks
1995-08-19	Sal4	A-D	-9999	-9999	1	129	-9999	-9999	NA	No remarks	No remarks
1995-08-26	Sal4	A-D	-9999	-9999	0	100	-9999	-9999	NA	No remarks	No remarks
1995-08-26	Sal1	A-D	-9999	-9999	0	100	-9999	-9999	NA	No remarks	No remarks
1995-08-26	Sal2	A-D	-9999	-9999	0	100	-9999	-9999	NA	No remarks	No remarks
1996-06-03	Sal2	A-D	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1996-06-03	Sal3	A-D	10	0	0	0	-9999	-9999	NA	No remarks	No remarks
1996-06-04	Sal1	A-D	176	73	56	0	-9999	-9999	NA	No remarks	No remarks
1996-06-04	Sal4	A-D	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1996-06-10	Sal1	A-D	8	120	129	0	-9999	-9999	NA	No remarks	No remarks
1996-06-10	Sal2	A-D	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1996-06-10	Sal3	A-D	100	0	0	0	-9999	-9999	NA	No remarks	No remarks
1996-06-10	Sal4	A-D	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1996-06-17	Sal1	A-D	0	105	128	0	-9999	-9999	NA	No remarks	No remarks
1996-06-17	Sal2	A-D	94	7	7	0	-9999	-9999	NA	No remarks	No remarks
1996-06-17	Sal3	A-D	313	45	33	0	-9999	-9999	NA	No remarks	No remarks
1996-06-17	Sal4	A-D	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1996-06-20	Sal1	A-D	-9999	-9999	-9999	-9999	807	1096	TOTALCOUNT	No remarks	No remarks
1996-06-24	Sal4	A-D	100	0	0	0	-9999	-9999	NA	No remarks	No remarks
1996-06-24	Sal1	A-D	0	100	136	0	-9999	-9999	NA	No remarks	No remarks
1996-06-24	Sal2	A-D	25	74	108	0	-9999	-9999	NA	No remarks	No remarks
1996-06-24	Sal3	A-D	2	134	110	0	-9999	-9999	NA	No remarks	No remarks
1996-07-01	Sal1	A-D	0	100	100	0	-9999	-9999	NA	No remarks	No remarks
1996-07-01	Sal2	A-D	2	98	142	0	-9999	-9999	NA	No remarks	No remarks
1996-07-01	Sal4	A-D	57	150	69	0	-9999	-9999	NA	No remarks	No remarks
1996-07-02	Sal3	A-D	1	94	188	0	479	268	TOTALCOUNT	No remarks	No remarks
1996-07-08	Sal4	A-D	0	201	187	0	-9999	-9999	NA	No remarks	No remarks
1996-07-08	Sal1	A-D	0	0	100	0	-9999	-9999	NA	No remarks	No remarks
1996-07-08	Sal2	A-D	0	103	171	0	-9999	-9999	NA	No remarks	No remarks
1996-07-08	Sal3	A-D	0	100	100	0	-9999	-9999	NA	No remarks	No remarks
1996-07-12	Sal2	A-D	-9999	-9999	-9999	-9999	790	1376	TOTALCOUNT	No remarks	No remarks
1996-07-12	Sal4	A-D	-9999	-9999	-9999	-9999	1314	1145	TOTALCOUNT	No remarks	No remarks
1996-07-15	Sal1	A-D	0	0	100	0	-9999	-9999	NA	No remarks	No remarks
1996-07-15	Sal2	A-D	0	100	100	0	-9999	-9999	NA	No remarks	No remarks
1996-07-15	Sal3	A-D	0	0	100	0	-9999	-9999	NA	No remarks	No remarks
1996-07-15	Sal4	A-D	0	107	146	0	-9999	-9999	NA	No remarks	No remarks
1996-07-22	Sal3	A-D	0	0	100	0	-9999	-9999	NA	No remarks	No remarks
1996-07-22	Sal4	A-D	0	100	103	0	-9999	-9999	NA	No remarks	No remarks
1996-07-22	Sal1	A-D	0	0	111	4	-9999	-9999	NA	No remarks	No remarks
1996-07-22	Sal2	A-D	0	0	100	0	-9999	-9999	NA	No remarks	No remarks
1996-07-29	Sal1	A-D	0	0	97	3	-9999	-9999	NA	No remarks	No remarks
1996-07-29	Sal2	A-D	0	0	94	6	-9999	-9999	NA	No remarks	No remarks
1996-07-29	Sal3	A-D	0	0	95	5	-9999	-9999	NA	No remarks	No remarks
1996-07-29	Sal4	A-D	0	0	100	0	-9999	-9999	NA	No remarks	No remarks
1996-08-05	Sal3	A-D	0	0	82	20	-9999	-9999	NA	No remarks	No remarks
1996-08-05	Sal4	A-D	0	0	123	0	-9999	-9999	NA	No remarks	No remarks
1996-08-05	Sal1	A-D	0	0	99	18	-9999	-9999	NA	No remarks	No remarks
1996-08-05	Sal2	A-D	0	0	94	6	-9999	-9999	NA	No remarks	No remarks
1996-08-12	Sal1	A-D	0	0	5	95	-9999	-9999	NA	No remarks	No remarks
1996-08-12	Sal2	A-D	0	0	32	111	-9999	-9999	NA	No remarks	No remarks
1996-08-12	Sal3	A-D	0	0	14	86	-9999	-9999	NA	No remarks	No remarks
1996-08-12	Sal4	A-D	0	0	92	8	-9999	-9999	NA	No remarks	No remarks
1996-08-19	Sal3	A-D	0	0	0	100	-9999	-9999	NA	No remarks	No remarks
1996-08-19	Sal4	A-D	0	0	29	79	-9999	-9999	NA	No remarks	No remarks
1996-08-19	Sal1	A-D	0	0	0	100	-9999	-9999	NA	No remarks	No remarks
1996-08-19	Sal2	A-D	0	0	12	88	-9999	-9999	NA	No remarks	No remarks
1996-08-26	Sal2	A-D	0	0	0	100	-9999	-9999	NA	No remarks	No remarks
1996-08-26	Sal4	A-D	0	0	0	100	-9999	-9999	NA	No remarks	No remarks
1997-05-27	Sal1	A	50	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-05-27	Sal1	B	97	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-05-27	Sal1	C	35	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-05-27	Sal1	D	50	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-05-27	Sal4	B	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-05-27	Sal4	C	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-05-27	Sal4	D	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-05-27	Sal4	A	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-03	Sal1	A	84	8	8	0	-9999	-9999	NA	No remarks	No remarks
1997-06-03	Sal4	B	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-03	Sal4	C	0	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-03	Sal4	D	0	0	0	0	-9999	-9999	NA	Buds bursting	No remarks
1997-06-03	Sal1	B	59	22	10	0	-9999	-9999	NA	No remarks	No remarks
1997-06-03	Sal1	C	41	12	4	0	-9999	-9999	NA	No remarks	No remarks
1997-06-03	Sal1	D	48	8	1	0	-9999	-9999	NA	No remarks	No remarks
1997-06-03	Sal4	A	0	0	0	0	-9999	-9999	NA	Buds bursting	No remarks
1997-06-10	Sal3	A	26	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-10	Sal4	B	50	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-10	Sal4	C	4	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-10	Sal4	D	50	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-10	Sal3	B	23	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-10	Sal3	C	27	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-10	Sal3	D	33	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-10	Sal4	A	50	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-12	Sal1	A	0	18	35	0	-9999	-9999	NA	No remarks	No remarks
1997-06-12	Sal1	B	3	23	17	0	-9999	-9999	NA	No remarks	No remarks
1997-06-12	Sal1	C	2	32	17	0	-9999	-9999	NA	No remarks	No remarks
1997-06-12	Sal1	D	3	37	24	0	-9999	-9999	NA	No remarks	No remarks
1997-06-16	Sal1	C	-9999	-9999	-9999	-9999	338	311	TOTALCOUNT	No remarks	No remarks
1997-06-16	Sal1	D	-9999	-9999	-9999	-9999	154	243	TOTALCOUNT	No remarks	No remarks
1997-06-16	Sal1	A	-9999	-9999	-9999	-9999	240	368	TOTALCOUNT	No remarks	No remarks
1997-06-16	Sal1	B	-9999	-9999	-9999	-9999	227	427	TOTALCOUNT	No remarks	No remarks
1997-06-17	Sal1	A	0	15	17	0	-9999	-9999	NA	No remarks	No remarks
1997-06-17	Sal1	B	0	15	33	0	-9999	-9999	NA	No remarks	No remarks
1997-06-17	Sal3	C	14	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-17	Sal3	D	50	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-17	Sal1	C	0	24	34	0	-9999	-9999	NA	No remarks	No remarks
1997-06-17	Sal1	D	0	28	14	0	-9999	-9999	NA	No remarks	No remarks
1997-06-17	Sal3	A	50	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-17	Sal3	B	22	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-17	Sal4	C	50	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-17	Sal4	D	42	1	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-17	Sal4	A	45	1	8	0	-9999	-9999	NA	No remarks	No remarks
1997-06-17	Sal4	B	35	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-24	Sal1	C	0	36	48	0	-9999	-9999	NA	No remarks	No remarks
1997-06-24	Sal1	D	0	30	8	0	-9999	-9999	NA	No remarks	No remarks
1997-06-24	Sal2	A	25	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-24	Sal2	B	14	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-24	Sal2	C	23	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-24	Sal3	D	26	4	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-24	Sal4	A	1	31	8	0	-9999	-9999	NA	No remarks	No remarks
1997-06-24	Sal4	B	38	0	11	0	-9999	-9999	NA	No remarks	No remarks
1997-06-24	Sal4	C	18	1	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-24	Sal1	A	0	25	18	0	-9999	-9999	NA	No remarks	No remarks
1997-06-24	Sal1	B	0	22	15	0	-9999	-9999	NA	No remarks	No remarks
1997-06-24	Sal2	D	7	0	0	0	-9999	-9999	NA	No remarks	No remarks
1997-06-24	Sal3	A	4	0	31	0	-9999	-9999	NA	No remarks	No remarks
1997-06-24	Sal3	B	13	0	16	0	-9999	-9999	NA	No remarks	No remarks
1997-06-24	Sal3	C	28	4	6	0	-9999	-9999	NA	No remarks	No remarks
1997-06-24	Sal4	D	11	8	27	0	-9999	-9999	NA	No remarks	No remarks
1997-07-01	Sal1	D	0	50	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-01	Sal2	A	11	7	27	0	-9999	-9999	NA	No remarks	No remarks
1997-07-01	Sal2	B	10	33	9	0	-9999	-9999	NA	No remarks	No remarks
1997-07-01	Sal2	C	10	5	25	0	-9999	-9999	NA	No remarks	No remarks
1997-07-01	Sal4	A	0	28	20	0	-9999	-9999	NA	No remarks	No remarks
1997-07-01	Sal4	B	0	49	11	0	-9999	-9999	NA	No remarks	No remarks
1997-07-01	Sal4	C	0	56	16	0	-9999	-9999	NA	No remarks	No remarks
1997-07-01	Sal4	D	0	18	18	0	-9999	-9999	NA	No remarks	No remarks
1997-07-01	Sal1	A	0	50	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-01	Sal1	B	0	50	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-01	Sal1	C	0	50	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-01	Sal2	D	14	20	34	0	-9999	-9999	NA	No remarks	No remarks
1997-07-01	Sal3	A	1	2	25	0	-9999	-9999	NA	No remarks	No remarks
1997-07-01	Sal3	B	0	22	24	0	-9999	-9999	NA	No remarks	No remarks
1997-07-01	Sal3	C	0	25	49	0	-9999	-9999	NA	No remarks	No remarks
1997-07-01	Sal3	D	1	53	27	0	-9999	-9999	NA	No remarks	No remarks
1997-07-08	Sal1	A	0	50	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-08	Sal1	B	0	50	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-08	Sal1	C	0	50	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-08	Sal1	D	0	50	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-08	Sal2	A	0	12	50	0	-9999	-9999	NA	No remarks	No remarks
1997-07-08	Sal2	B	3	21	39	0	-9999	-9999	NA	No remarks	No remarks
1997-07-08	Sal2	C	2	20	25	0	-9999	-9999	NA	No remarks	No remarks
