Date	Plot	Section	Buds	Flowers	Senescent	TotalFlowering	TotalCount	Field_Remarks	General_Remarks
1995-07-23	Sil4	A-D	-9999	-9999	-9999	466	TOTALCOUNT	No remarks	No remarks
1995-07-23	Sil4	A-D	59	54	8	-9999	NA	No remarks	No remarks
1995-07-28	Sil4	A-D	22	47	88	-9999	NA	No remarks	No remarks
1995-08-05	Sil4	A-D	0	44	210	-9999	NA	No remarks	No remarks
1995-08-12	Sil4	A-D	0	2	250	-9999	NA	No remarks	No remarks
1995-08-19	Sil4	A-D	0	0	100	-9999	NA	No remarks	No remarks
1996-06-03	Sil4	A-D	0	0	0	-9999	NA	No remarks	No remarks
1996-06-04	Sil2	A-D	0	0	0	-9999	NA	No remarks	No remarks
1996-06-10	Sil1	A-B	0	0	0	-9999	NA	No remarks	Plot enlarged in 1997
1996-06-10	Sil1	C-D	-9999	-9999	-9999	-9999	NA	No remarks	Plot enlarged in 1997
1996-06-10	Sil2	A-D	0	0	0	-9999	NA	No remarks	No remarks
1996-06-10	Sil3	A-D	0	0	0	-9999	NA	No remarks	No remarks
1996-06-10	Sil4	A-D	0	0	0	-9999	NA	No remarks	No remarks
1996-06-17	Sil3	A-D	0	0	0	-9999	NA	No remarks	No remarks
1996-06-17	Sil4	A-D	0	0	0	-9999	NA	No remarks	No remarks
1996-06-17	Sil1	A-B	98	57	0	-9999	NA	No remarks	Plot enlarged in 1997
1996-06-17	Sil1	C-D	-9999	-9999	-9999	-9999	NA	No remarks	Plot enlarged in 1997
1996-06-17	Sil2	A-D	93	33	0	-9999	NA	No remarks	No remarks
1996-06-24	Sil1	A-B	67	144	21	-9999	NA	No remarks	Plot enlarged in 1997
1996-06-24	Sil1	C-D	-9999	-9999	-9999	-9999	NA	No remarks	Plot enlarged in 1997
1996-06-24	Sil2	A-D	29	103	11	-9999	NA	No remarks	No remarks
1996-06-24	Sil4	A-D	0	0	0	-9999	NA	No remarks	No remarks
1996-06-25	Sil3	A-D	125	14	0	-9999	NA	No remarks	No remarks
1996-07-01	Sil2	A-D	32	67	63	-9999	NA	No remarks	No remarks
1996-07-01	Sil3	A-D	74	97	8	-9999	NA	No remarks	No remarks
1996-07-01	Sil4	A-D	0	0	0	-9999	NA	No remarks	No remarks
1996-07-01	Sil1	A-B	2	55	68	-9999	NA	No remarks	Plot enlarged in 1997
1996-07-01	Sil1	C-D	-9999	-9999	-9999	-9999	NA	No remarks	Plot enlarged in 1997
1996-07-08	Sil1	A-B	0	0	100	-9999	NA	No remarks	Plot enlarged in 1997
1996-07-08	Sil1	C-D	-9999	-9999	-9999	-9999	NA	No remarks	Plot enlarged in 1997
1996-07-08	Sil2	A-D	0	26	98	-9999	NA	No remarks	No remarks
1996-07-08	Sil3	A-D	0	98	99	-9999	NA	No remarks	No remarks
1996-07-08	Sil4	A-D	0	0	0	-9999	NA	No remarks	No remarks
1996-07-14	Sil1	A-B	-9999	-9999	-9999	251	TOTALCOUNT	No remarks	Plot enlarged in 1997
1996-07-14	Sil1	C-D	-9999	-9999	-9999	-9999	TOTALCOUNT	No remarks	Plot enlarged in 1997
1996-07-14	Sil2	A-D	-9999	-9999	-9999	493	TOTALCOUNT	No remarks	No remarks
1996-07-14	Sil3	A-D	-9999	-9999	-9999	348	TOTALCOUNT	No remarks	No remarks
1996-07-15	Sil2	A-D	0	1	99	-9999	NA	No remarks	No remarks
1996-07-15	Sil3	A-D	0	0	100	-9999	NA	No remarks	No remarks
1996-07-15	Sil4	A-D	100	0	0	-9999	NA	No remarks	No remarks
1996-07-22	Sil4	A-D	104	27	0	-9999	NA	No remarks	No remarks
1996-07-22	Sil2	A-D	0	0	100	-9999	NA	No remarks	No remarks
1996-07-29	Sil4	A-D	33	96	14	-9999	NA	No remarks	No remarks
1996-08-05	Sil4	A-D	14	63	60	-9999	NA	No remarks	No remarks
1996-08-05	Sil4	A-D	-9999	-9999	-9999	270	TOTALCOUNT	No remarks	No remarks
1996-08-12	Sil4	A-D	3	10	124	-9999	NA	No remarks	No remarks
1996-08-19	Sil4	A-D	0	1	99	-9999	NA	No remarks	No remarks
1996-08-26	Sil4	A-D	0	0	100	-9999	NA	No remarks	No remarks
1997-05-27	Sil1	C	-9999	-9999	-9999	-9999	NA	No remarks	Section not yet existant
1997-05-27	Sil1	D	-9999	-9999	-9999	-9999	NA	No remarks	Section not yet existant
1997-05-27	Sil2	A	0	0	0	-9999	NA	No remarks	No remarks
1997-05-27	Sil2	B	0	0	0	-9999	NA	No remarks	No remarks
1997-05-27	Sil3	C	0	0	0	-9999	NA	No remarks	No remarks
1997-05-27	Sil3	D	0	0	0	-9999	NA	No remarks	No remarks
1997-05-27	Sil1	A	0	0	0	-9999	NA	No remarks	No remarks
1997-05-27	Sil1	B	0	0	0	-9999	NA	No remarks	No remarks
1997-05-27	Sil2	C	0	0	0	-9999	NA	No remarks	No remarks
1997-05-27	Sil2	D	0	0	0	-9999	NA	No remarks	No remarks
1997-05-27	Sil3	A	0	0	0	-9999	NA	No remarks	No remarks
1997-05-27	Sil3	B	0	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sil1	C	-9999	-9999	-9999	-9999	NA	No remarks	Section not yet existant
1997-06-03	Sil1	A	0	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sil1	B	0	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sil2	C	0	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sil2	D	0	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sil3	A	0	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sil3	B	0	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sil3	C	0	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sil1	D	-9999	-9999	-9999	-9999	NA	No remarks	Section not yet existant
1997-06-03	Sil2	A	0	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sil2	B	0	0	0	-9999	NA	No remarks	No remarks
1997-06-03	Sil3	D	0	0	0	-9999	NA	No remarks	No remarks
1997-06-10	Sil1	D	0	0	0	-9999	NA	No remarks	Plot doubled in size to the south i.e. with sections C and D
1997-06-10	Sil2	A	0	0	0	-9999	NA	No remarks	No remarks
1997-06-10	Sil2	B	0	0	0	-9999	NA	No remarks	No remarks
1997-06-10	Sil2	C	0	0	0	-9999	NA	No remarks	No remarks
1997-06-10	Sil3	D	0	0	0	-9999	NA	No remarks	No remarks
1997-06-10	Sil1	A	0	0	0	-9999	NA	No remarks	Plot doubled in size to the south i.e. with sections C and D
1997-06-10	Sil1	B	0	0	0	-9999	NA	No remarks	Plot doubled in size to the south i.e. with sections C and D
1997-06-10	Sil1	C	0	0	0	-9999	NA	No remarks	Plot doubled in size to the south i.e. with sections C and D
1997-06-10	Sil2	D	0	0	0	-9999	NA	No remarks	No remarks
1997-06-10	Sil3	A	0	0	0	-9999	NA	No remarks	No remarks
1997-06-10	Sil3	B	0	0	0	-9999	NA	No remarks	No remarks
1997-06-10	Sil3	C	0	0	0	-9999	NA	No remarks	No remarks
1997-06-17	Sil1	A	47	1	0	-9999	NA	No remarks	No remarks
1997-06-17	Sil1	B	48	1	0	-9999	NA	No remarks	No remarks
1997-06-17	Sil1	C	27	0	0	-9999	NA	No remarks	No remarks
1997-06-17	Sil2	D	38	0	0	-9999	NA	No remarks	No remarks
1997-06-17	Sil3	A	11	0	0	-9999	NA	No remarks	No remarks
1997-06-17	Sil3	B	10	0	0	-9999	NA	No remarks	No remarks
1997-06-17	Sil3	C	18	0	0	-9999	NA	No remarks	No remarks
1997-06-17	Sil3	D	57	3	0	-9999	NA	No remarks	No remarks
1997-06-17	Sil1	D	43	7	0	-9999	NA	No remarks	No remarks
1997-06-17	Sil2	A	38	1	0	-9999	NA	No remarks	No remarks
1997-06-17	Sil2	B	50	0	0	-9999	NA	No remarks	No remarks
1997-06-17	Sil2	C	2	0	0	-9999	NA	No remarks	No remarks
1997-06-24	Sil2	A	20	21	0	-9999	NA	No remarks	No remarks
1997-06-24	Sil2	B	106	12	0	-9999	NA	No remarks	No remarks
1997-06-24	Sil2	C	0	0	0	-9999	NA	No remarks	No remarks
1997-06-24	Sil2	D	22	0	0	-9999	NA	No remarks	No remarks
1997-06-24	Sil1	A	7	34	0	-9999	NA	No remarks	No remarks
1997-06-24	Sil1	B	37	13	0	-9999	NA	No remarks	No remarks
1997-06-24	Sil1	C	1	3	0	-9999	NA	No remarks	No remarks
1997-06-24	Sil1	D	25	27	0	-9999	NA	No remarks	No remarks
1997-06-24	Sil3	A	14	6	0	-9999	NA	No remarks	No remarks
1997-06-24	Sil3	B	0	0	0	-9999	NA	No remarks	No remarks
1997-06-24	Sil3	C	18	24	0	-9999	NA	No remarks	No remarks
1997-06-24	Sil3	D	39	14	0	-9999	NA	No remarks	No remarks
1997-07-01	Sil1	A	-9999	-9999	-9999	157	TOTALCOUNT	No remarks	No remarks
1997-07-01	Sil1	A	0	18	22	-9999	NA	No remarks	No remarks
1997-07-01	Sil1	B	-9999	-9999	-9999	111	TOTALCOUNT	No remarks	No remarks
1997-07-01	Sil1	B	12	51	7	-9999	NA	No remarks	No remarks
1997-07-01	Sil2	A	7	47	3	-9999	NA	No remarks	No remarks
1997-07-01	Sil2	B	31	28	0	-9999	NA	No remarks	No remarks
1997-07-01	Sil2	C	0	0	0	-9999	NA	No remarks	No remarks
1997-07-01	Sil2	D	17	16	0	-9999	NA	No remarks	No remarks
1997-07-01	Sil1	C	-9999	-9999	-9999	27	TOTALCOUNT	No remarks	No remarks
1997-07-01	Sil1	C	1	30	2	-9999	NA	No remarks	No remarks
1997-07-01	Sil1	D	-9999	-9999	-9999	108	TOTALCOUNT	No remarks	No remarks
1997-07-01	Sil1	D	2	14	16	-9999	NA	No remarks	No remarks
1997-07-01	Sil3	B	2	12	0	-9999	NA	No remarks	No remarks
1997-07-01	Sil3	C	3	29	20	-9999	NA	No remarks	No remarks
1997-07-01	Sil3	D	8	40	8	-9999	NA	No remarks	No remarks
1997-07-01	Sil4	A	0	0	0	-9999	NA	No remarks	No remarks
1997-07-01	Sil3	A	18	10	0	-9999	NA	No remarks	No remarks
1997-07-01	Sil4	B	0	0	0	-9999	NA	No remarks	No remarks
1997-07-01	Sil4	C	0	0	0	-9999	NA	No remarks	No remarks
1997-07-01	Sil4	D	0	0	0	-9999	NA	No remarks	No remarks
1997-07-08	Sil1	A	0	15	52	-9999	NA	No remarks	No remarks
1997-07-08	Sil2	A	0	19	26	-9999	NA	No remarks	No remarks
1997-07-08	Sil2	B	-9999	-9999	-9999	338	TOTALCOUNT	No remarks	No remarks
1997-07-08	Sil2	B	3	42	7	-9999	NA	No remarks	No remarks
1997-07-08	Sil2	C	-9999	-9999	-9999	0	TOTALCOUNT	No remarks	No remarks
1997-07-08	Sil3	C	6	18	33	-9999	NA	No remarks	No remarks
1997-07-08	Sil3	D	4	32	7	-9999	NA	No remarks	No remarks
1997-07-08	Sil4	A	0	0	0	-9999	NA	No remarks	No remarks
1997-07-08	Sil4	B	0	0	0	-9999	NA	No remarks	No remarks
1997-07-08	Sil1	B	0	28	36	-9999	NA	No remarks	No remarks
1997-07-08	Sil1	C	0	5	10	-9999	NA	No remarks	No remarks
1997-07-08	Sil1	D	0	9	43	-9999	NA	No remarks	No remarks
1997-07-08	Sil2	A	-9999	-9999	-9999	108	TOTALCOUNT	No remarks	No remarks
