date	OrgPegNumber	OrgTubeNumber	PegNumber	TubeNumber	ScientificName	IDcertainty	Frequency	Fertile	Field_remarks	General_remarks
1992-07-23	-41	1	24	10	Stellaria sp.	OK	1	NA	No remarks	No remarks
1992-07-23	-41	1	24	10	Dryas sp.	OK	3	NA	No remarks	No remarks
1992-07-23	-41	2	24	9	Cassiope tetragona	OK	3	NA	No remarks	No remarks
1992-07-23	-41	2	24	9	Draba arctica	OK	1	NA	No remarks	No remarks
1992-07-23	-41	3	24	8	Silene acaulis	OK	2	NA	No remarks	No remarks
1992-07-23	-41	3	24	8	Trisetum spicatum	OK	2	NA	No remarks	No remarks
1992-07-23	-41	3	24	8	Stellaria sp.	OK	2	NA	No remarks	No remarks
1992-07-23	-41	4	24	7	Luzula confusa	OK	2	NA	No remarks	No remarks
1992-07-23	-41	4	24	7	Poa arctica	OK	2	NA	No remarks	No remarks
1992-07-23	-41	5	24	6	Hierochloë alpina	OK	3	NA	No remarks	No remarks
1992-07-23	-41	5	24	6	Pedicularis hirsuta	OK	1	NA	No remarks	No remarks
1992-07-23	-41	5	24	6	Potentilla hyparctica	OK	1	NA	No remarks	No remarks
1992-07-23	-41	5	24	6	Salix arctica	OK	2	NA	No remarks	No remarks
1992-07-23	-41	6	24	5	Luzula confusa	OK	2	NA	No remarks	No remarks
1992-07-23	-41	6	24	5	Salix arctica	OK	3	NA	No remarks	No remarks
1992-07-23	-41	6	24	5	Silene acaulis	OK	1	NA	No remarks	No remarks
1992-07-23	-41	6	24	5	Trisetum spicatum	OK	1	NA	No remarks	No remarks
1992-07-23	-41	7	24	4	Dryas sp.	OK	1	NA	No remarks	No remarks
1992-07-23	-41	8	24	3	Cassiope tetragona	OK	3	NA	No remarks	No remarks
1992-07-23	-41	8	24	3	Festuca brachyphylla	OK	1	NA	No remarks	No remarks
1992-07-23	-41	8	24	3	Salix arctica	OK	1	NA	No remarks	No remarks
1992-07-23	-41	9	24	2	Potentilla hyparctica	OK	1	NA	No remarks	No remarks
1992-07-23	-41	9	24	2	Salix arctica	OK	2	NA	No remarks	No remarks
1992-07-23	-41	9	24	2	Dryas sp.	OK	3	NA	No remarks	No remarks
1992-07-23	-41	10	24	1	Luzula confusa	OK	1	NA	Salix-Dryas-Cass heath. Much whitish organic crust. Probably lichens. SW-exposed.	No remarks
1992-07-23	-38	1	27	10	Dryas sp.	OK	1	NA	No remarks	No remarks
1992-07-23	-38	2	27	9	Carex nardina	OK	1	NA	No remarks	No remarks
1992-07-23	-38	2	27	9	Cassiope tetragona	OK	3	NA	No remarks	No remarks
1992-07-23	-38	2	27	9	Salix arctica	OK	1	NA	No remarks	No remarks
1992-07-23	-38	4	27	7	Luzula confusa	OK	1	NA	No remarks	No remarks
1992-07-23	-38	4	27	7	Poa glauca	OK	1	NA	No remarks	No remarks
1992-07-23	-38	4	27	7	Vaccinium uliginosum	OK	3	NA	No remarks	No remarks
1992-07-23	-38	5	27	6	Cassiope tetragona	OK	3	NA	No remarks	No remarks
1992-07-23	-38	6	27	5	Vaccinium uliginosum	OK	3	NA	No remarks	No remarks
1992-07-23	-38	6	27	5	Dryas sp.	OK	3	NA	No remarks	No remarks
1992-07-23	-38	7	27	4	Cassiope tetragona	OK	3	NA	No remarks	No remarks
1992-07-23	-38	7	27	4	Luzula confusa	OK	1	NA	No remarks	No remarks
1992-07-23	-38	8	27	3	Vaccinium uliginosum	OK	3	NA	No remarks	No remarks
1992-07-23	-38	8	27	3	Dryas sp.	OK	1	NA	No remarks	No remarks
1992-07-23	-38	9	27	2	Carex rupestris	OK	2	NA	No remarks	No remarks
1992-07-23	-38	9	27	2	Hierochloë alpina	OK	1	NA	No remarks	No remarks
1992-07-23	-38	10	27	1	Vaccinium uliginosum	OK	3	NA	Vacc.-Cass.-Dryas heath. Photo 238.	No remarks
1992-07-23	-36	1	29	10	Carex nardina	OK	2	NA	No remarks	No remarks
1992-07-23	-36	1	29	10	Cerastium arcticum	OK	1	NA	No remarks	No remarks
1992-07-23	-36	1	29	10	Hierochloë alpina	OK	2	NA	No remarks	No remarks
1992-07-23	-36	2	29	9	Luzula confusa	OK	1	NA	No remarks	No remarks
1992-07-23	-36	2	29	9	Melandrium triflorum	OK	2	NA	No remarks	No remarks
1992-07-23	-36	2	29	9	Dryas sp.	OK	2	NA	No remarks	No remarks
1992-07-23	-36	3	29	8	Carex nardina	OK	2	NA	No remarks	No remarks
1992-07-23	-36	3	29	8	Dryas sp.	OK	3	NA	No remarks	No remarks
1992-07-23	-36	4	29	7	Carex nardina	OK	3	NA	No remarks	No remarks
1992-07-23	-36	4	29	7	Carex rupestris	OK	2	NA	No remarks	No remarks
1992-07-23	-36	4	29	7	Cerastium arcticum	OK	2	NA	No remarks	No remarks
