Date	Photo_no	Observer	Plot	Section	Snow	Cloud_cover	Buds	Flowers	Senescent	TotalFlowering	TotalCount	Remarks
2008-06-10	LOI1_080610	JoNy/KaRa	LOI1	A	0	8	7	70	23	100	-9999	No remarks
2008-06-10	LOI1_080610	JoNy/KaRa	LOI1	B	0	8	25	68	7	100	-9999	No remarks
2008-06-10	LOI1_080610	JoNy/KaRa	LOI1	C	0	8	6	61	33	100	-9999	No remarks
2008-06-10	LOI1_080610	JoNy/KaRa	LOI1	D	0	8	10	64	26	100	-9999	No remarks
2008-06-10	LOI2_080610	JoNy/KaRa	LOI2	A	0	8	67	33	0	100	-9999	No remarks
2008-06-10	LOI2_080610	JoNy/KaRa	LOI2	B	0	8	100	0	0	100	-9999	No remarks
2008-06-10	LOI2_080610	JoNy/KaRa	LOI2	C	0	8	100	0	0	100	-9999	No remarks
2008-06-10	LOI2_080610	JoNy/KaRa	LOI2	D	0	8	100	0	0	100	-9999	No remarks
2008-06-10	LOI3_080610	JoNy/KaRa	LOI3	A	0	8	15	0	0	15	-9999	No remarks
2008-06-10	LOI3_080610	JoNy/KaRa	LOI3	B	0	8	11	0	0	11	-9999	No remarks
2008-06-10	LOI3_080610	JoNy/KaRa	LOI3	C	0	8	31	0	0	31	-9999	No remarks
2008-06-10	LOI3_080610	JoNy/KaRa	LOI3	D	0	8	74	0	0	74	-9999	No remarks
2008-06-10	LOI4_080610	JoNy/KaRa	LOI4	A	0	8	16	54	30	100	-9999	No remarks
2008-06-10	LOI4_080610	JoNy/KaRa	LOI4	B	0	8	2	38	60	100	-9999	No remarks
2008-06-10	LOI4_080610	JoNy/KaRa	LOI4	C	0	8	6	29	65	100	-9999	No remarks
2008-06-10	LOI4_080610	JoNy/KaRa	LOI4	D	0	8	7	61	32	100	-9999	No remarks
2008-06-17	LOI1_080617	KaRa/PeAa	LOI1	A	0	0	4	2	74	80	-9999	No remarks
2008-06-17	LOI1_080617	KaRa/PeAa	LOI1	B	0	0	0	55	48	103	-9999	No remarks
2008-06-17	LOI1_080617	KaRa/PeAa	LOI1	C	0	0	1	19	80	100	-9999	No remarks
2008-06-17	LOI1_080617	KaRa/PeAa	LOI1	D	0	0	7	14	77	98	-9999	No remarks
2008-06-17	LOI2_080617	KaRa/PeAa	LOI2	A	0	0	51	49	0	100	-9999	No remarks
2008-06-17	LOI2_080617	KaRa/PeAa	LOI2	B	0	0	5	75	20	100	-9999	No remarks
2008-06-17	LOI2_080617	KaRa/PeAa	LOI2	C	0	0	1	76	23	100	-9999	No remarks
2008-06-17	LOI2_080617	KaRa/PeAa	LOI2	D	0	0	35	88	0	123	-9999	No remarks
2008-06-17	LOI3_080617	KaRa/PeAa	LOI3	A	0	1	80	0	0	80	-9999	No remarks
2008-06-17	LOI3_080617	KaRa/PeAa	LOI3	B	0	1	100	0	0	100	-9999	No remarks
2008-06-17	LOI3_080617	KaRa/PeAa	LOI3	C	0	1	100	0	0	100	-9999	No remarks
2008-06-17	LOI3_080617	KaRa/PeAa	LOI3	D	0	1	100	0	0	100	-9999	No remarks
2008-06-17	LOI4_080617	KaRa/PeAa	LOI4	A	0	1	0	6	94	100	-9999	No remarks
2008-06-17	LOI4_080617	KaRa/PeAa	LOI4	B	0	1	0	27	73	100	-9999	No remarks
2008-06-17	LOI4_080617	KaRa/PeAa	LOI4	C	0	1	0	14	81	95	-9999	No remarks
2008-06-17	LOI4_080617	KaRa/PeAa	LOI4	D	0	1	0	15	72	87	-9999	No remarks
2008-06-23	NA	KaRa/PeAa	LOI2	A	0	1	2	1657	821	2480	2480	Total count
2008-06-23	NA	KaRa/PeAa	LOI2	B	0	1	2	212	166	380	380	Total count
2008-06-23	NA	KaRa/PeAa	LOI2	C	0	1	4	621	604	1229	1229	Total count
2008-06-23	NA	KaRa/PeAa	LOI2	D	0	1	1	378	160	539	539	Total count
2008-06-24	LOI1_080624	KaRa/PeAa	LOI1	A	0	0	0	0	100	100	-9999	No remarks
2008-06-24	LOI1_080624	KaRa/PeAa	LOI1	B	0	0	0	11	89	100	-9999	No remarks
2008-06-24	LOI1_080624	KaRa/PeAa	LOI1	C	0	0	0	18	82	100	-9999	No remarks
2008-06-24	LOI1_080624	KaRa/PeAa	LOI1	D	0	0	0	0	100	100	-9999	No remarks
2008-06-24	LOI2_080624	KaRa/PeAa	LOI2	A	0	0	0	68	32	100	-9999	No remarks
2008-06-24	LOI2_080624	KaRa/PeAa	LOI2	B	0	0	0	49	51	100	-9999	No remarks
2008-06-24	LOI2_080624	KaRa/PeAa	LOI2	C	0	0	0	22	78	100	-9999	No remarks
2008-06-24	LOI2_080624	KaRa/PeAa	LOI2	D	0	0	0	75	25	100	-9999	No remarks
2008-06-24	LOI3_080624	KaRa/PeAa	LOI3	A	0	0	85	15	0	100	-9999	No remarks
2008-06-24	LOI3_080624	KaRa/PeAa	LOI3	B	0	0	98	2	0	100	-9999	No remarks
2008-06-24	LOI3_080624	KaRa/PeAa	LOI3	C	0	0	60	40	0	100	-9999	No remarks
2008-06-24	LOI3_080624	KaRa/PeAa	LOI3	D	0	0	42	74	0	116	-9999	No remarks
2008-06-24	LOI4_080624	KaRa/PeAa	LOI4	A	0	0	0	7	97	104	-9999	No remarks
2008-06-24	LOI4_080624	KaRa/PeAa	LOI4	B	0	0	0	2	98	100	-9999	No remarks
2008-06-24	LOI4_080624	KaRa/PeAa	LOI4	C	0	0	0	0	100	100	-9999	No remarks
2008-06-24	LOI4_080624	KaRa/PeAa/S.Svendsen	LOI4	D	0	0	0	5	95	100	-9999	No remarks
2008-07-01	LOI1_080701	KaRa/PeAa/S.Svendsen	LOI1	A	0	0	0	0	81	81	-9999	No remarks
2008-07-01	LOI1_080701	KaRa/PeAa/S.Svendsen	LOI1	B	0	0	0	0	100	100	-9999	No remarks
2008-07-01	LOI1_080701	KaRa/PeAa/S.Svendsen	LOI1	C	0	0	0	2	98	100	-9999	No remarks
2008-07-01	LOI1_080701	KaRa/PeAa/S.Svendsen	LOI1	D	0	0	0	0	100	100	-9999	No remarks
2008-07-01	LOI2_080701	KaRa/PeAa/S.Svendsen	LOI2	A	0	2	0	47	86	133	-9999	No remarks
2008-07-01	LOI2_080701	KaRa/PeAa/S.Svendsen	LOI2	B	0	2	0	21	79	100	-9999	No remarks
2008-07-01	LOI2_080701	KaRa/PeAa/S.Svendsen	LOI2	C	0	2	0	7	93	100	-9999	No remarks
2008-07-01	LOI2_080701	KaRa/PeAa/S.Svendsen	LOI2	D	0	2	0	18	82	100	-9999	No remarks
2008-07-01	LOI3_080701	KaRa/PeAa/S.Svendsen	LOI3	A	0	2	-9999	-9999	-9999	-9999	-9999	No remarks
2008-07-01	LOI3_080701	KaRa/PeAa/S.Svendsen	LOI3	B	0	2	-9999	-9999	-9999	-9999	-9999	No remarks
2008-07-01	LOI3_080701	KaRa/PeAa/S.Svendsen	LOI3	C	0	2	-9999	-9999	-9999	-9999	-9999	No remarks
2008-07-01	LOI3_080701	KaRa/PeAa/S.Svendsen	LOI3	D	0	2	-9999	-9999	-9999	-9999	-9999	No remarks
2008-07-01	LOI4_080701	KaRa/PeAa/S.Svendsen	LOI4	A	0	2	0	0	100	100	-9999	No remarks
2008-07-01	LOI4_080701	KaRa/PeAa/S.Svendsen	LOI4	B	0	2	0	0	100	100	-9999	No remarks
2008-07-01	LOI4_080701	KaRa/PeAa/S.Svendsen	LOI4	C	0	2	0	0	97	97	-9999	No remarks
2008-07-01	LOI4_080701	KaRa/PeAa/S.Svendsen	LOI4	D	0	2	0	0	100	100	-9999	No remarks
2008-07-01	LOI3_080701	KaRa/PeAa/S.Svendsen	LOI3	A	0	1	7	118	94	219	219	Total count
2008-07-01	LOI3_080701	KaRa/PeAa/S.Svendsen	LOI3	B	0	1	19	124	50	193	193	Total count
2008-07-01	LOI3_080701	KaRa/PeAa/S.Svendsen	LOI3	C	0	1	6	77	136	219	219	Total count
2008-07-01	LOI3_080701	KaRa/PeAa/S.Svendsen	LOI3	D	0	1	0	177	104	281	281	Total count
2008-07-08	LOI1_080708	JoNy/KaRa	LOI1	A	0	8	0	0	100	100	-9999	No remarks
2008-07-08	LOI1_080708	JoNy/KaRa	LOI1	B	0	8	0	0	100	100	-9999	No remarks
2008-07-08	LOI1_080708	JoNy/KaRa	LOI1	C	0	8	0	0	100	100	-9999	No remarks
2008-07-08	LOI1_080708	JoNy/KaRa	LOI1	D	0	8	0	0	100	100	-9999	No remarks
2008-07-08	LOI2_080708	JoNy/KaRa	LOI2	A	0	8	0	0	100	100	-9999	No remarks
2008-07-08	LOI2_080708	JoNy/KaRa	LOI2	B	0	8	0	0	100	100	-9999	No remarks
2008-07-08	LOI2_080708	JoNy/KaRa	LOI2	C	0	8	0	0	100	100	-9999	No remarks
2008-07-08	LOI2_080708	JoNy/KaRa	LOI2	D	0	8	0	0	100	100	-9999	No remarks
2008-07-08	LOI3_080708	JoNy/KaRa	LOI3	A	0	8	1	9	90	100	-9999	No remarks
2008-07-08	LOI3_080708	JoNy/KaRa	LOI3	B	0	8	2	12	86	100	-9999	No remarks
2008-07-08	LOI3_080708	JoNy/KaRa	LOI3	C	0	8	0	1	99	100	-9999	No remarks
2008-07-08	LOI3_080708	JoNy/KaRa	LOI3	D	0	8	1	2	97	100	-9999	No remarks
2008-07-08	LOI4_080708	JoNy/KaRa	LOI4	A	0	8	0	0	100	100	-9999	No remarks
2008-07-08	LOI4_080708	JoNy/KaRa	LOI4	B	0	8	0	0	100	100	-9999	No remarks
2008-07-08	LOI4_080708	JoNy/KaRa	LOI4	C	0	8	0	0	73	73	-9999	No remarks
2008-07-08	LOI4_080708	JoNy/KaRa	LOI4	D	0	8	0	0	100	100	-9999	No remarks
2008-07-15	LOI1_080715	JoNy	LOI1	A	0	1	0	0	56	56	-9999	No remarks
2008-07-15	LOI1_080715	JoNy	LOI1	B	0	1	0	0	100	100	-9999	No remarks
2008-07-15	LOI1_080715	JoNy	LOI1	C	0	1	0	0	100	100	-9999	No remarks
2008-07-15	LOI1_080715	JoNy	LOI1	D	0	1	0	0	100	100	-9999	No remarks
2008-07-15	LOI2_080715	JoNy	LOI2	A	0	0	0	0	100	100	-9999	No remarks
2008-07-15	LOI2_080715	JoNy	LOI2	B	0	0	0	0	100	100	-9999	No remarks
2008-07-15	LOI2_080715	JoNy	LOI2	C	0	0	0	0	100	100	-9999	No remarks
2008-07-15	LOI2_080715	JoNy	LOI2	D	0	0	0	0	100	100	-9999	No remarks
2008-07-15	LOI3_080715	JoNy	LOI3	A	0	0	0	2	98	100	-9999	No remarks
2008-07-15	LOI3_080715	JoNy	LOI3	B	0	0	0	2	98	100	-9999	No remarks
2008-07-15	LOI3_080715	JoNy	LOI3	C	0	0	0	0	100	100	-9999	No remarks
2008-07-15	LOI3_080715	JoNy	LOI3	D	0	0	0	0	100	100	-9999	No remarks
2008-07-15	LOI4_080715	JoNy	LOI4	A	0	0	0	0	100	100	-9999	No remarks
2008-07-15	LOI4_080715	JoNy	LOI4	B	0	0	0	0	100	100	-9999	No remarks
2008-07-15	LOI4_080715	JoNy	LOI4	C	0	0	0	0	52	52	-9999	No remarks
2008-07-15	LOI4_080715	JoNy	LOI4	D	0	0	0	0	100	100	-9999	No remarks
2008-07-22	LOI1_080722	JoNy/S.Svendsen	LOI1	A	0	8	0	0	81	81	-9999	No remarks
2008-07-22	LOI1_080722	JoNy/S.Svendsen	LOI1	B	0	8	0	0	100	100	-9999	No remarks
2008-07-22	LOI1_080722	JoNy/S.Svendsen	LOI1	C	0	8	0	0	100	100	-9999	No remarks
2008-07-22	LOI1_080722	JoNy/S.Svendsen	LOI1	D	0	8	0	0	100	100	-9999	No remarks
2008-07-22	LOI2_080722	JoNy/S.Svendsen	LOI2	A	0	8	0	0	100	100	-9999	No remarks
2008-07-22	LOI2_080722	JoNy/S.Svendsen	LOI2	B	0	8	0	0	100	100	-9999	No remarks
2008-07-22	LOI2_080722	JoNy/S.Svendsen	LOI2	C	0	8	0	0	100	100	-9999	No remarks
2008-07-22	LOI2_080722	JoNy/S.Svendsen	LOI2	D	0	8	0	0	100	100	-9999	No remarks
2008-07-22	LOI3_080722	JoNy/S.Svendsen	LOI3	A	0	8	0	0	100	100	-9999	No remarks
2008-07-22	LOI3_080722	JoNy/S.Svendsen	LOI3	B	0	8	0	0	100	100	-9999	No remarks
2008-07-22	LOI3_080722	JoNy/S.Svendsen	LOI3	C	0	8	0	0	100	100	-9999	No remarks
2008-07-22	LOI3_080722	JoNy/S.Svendsen	LOI3	D	0	8	0	0	100	100	-9999	No remarks
2008-07-22	LOI4_080722	JoNy/S.Svendsen	LOI4	A	0	8	0	0	100	100	-9999	No remarks
2008-07-22	LOI4_080722	JoNy/S.Svendsen	LOI4	B	0	8	0	0	100	100	-9999	No remarks
2008-07-22	LOI4_080722	JoNy/S.Svendsen	LOI4	C	0	8	0	0	34	34	-9999	No remarks
2008-07-22	LOI4_080722	JoNy/S.Svendsen	LOI4	D	0	8	0	0	100	100	-9999	No remarks
2008-07-29	LOI1_080729	JoNy	LOI1	A	0	3	0	0	84	84	-9999	No remarks
2008-07-29	LOI1_080729	JoNy	LOI1	B	0	3	0	0	100	100	-9999	No remarks
2008-07-29	LOI1_080729	JoNy	LOI1	C	0	3	0	0	100	100	-9999	No remarks
2008-07-29	LOI1_080729	JoNy	LOI1	D	0	3	0	0	74	74	-9999	No remarks
2008-07-29	LOI2_080729	JoNy	LOI2	A	0	5	0	0	100	100	-9999	No remarks
2008-07-29	LOI2_080729	JoNy	LOI2	B	0	5	0	0	100	100	-9999	No remarks
2008-07-29	LOI2_080729	JoNy	LOI2	C	0	5	0	0	100	100	-9999	No remarks
2008-07-29	LOI2_080729	JoNy	LOI2	D	0	5	0	0	100	100	-9999	No remarks
2008-07-29	LOI3_080729	JoNy	LOI3	A	0	4	0	0	100	100	-9999	No remarks
2008-07-29	LOI3_080729	JoNy	LOI3	B	0	4	0	0	100	100	-9999	No remarks
2008-07-29	LOI3_080729	JoNy	LOI3	C	0	4	0	0	82	82	-9999	No remarks
2008-07-29	LOI3_080729	JoNy	LOI3	D	0	4	0	0	100	100	-9999	No remarks
2008-07-29	LOI4_080729	JoNy	LOI4	A	0	4	0	0	100	100	-9999	No remarks
2008-07-29	LOI4_080729	JoNy	LOI4	B	0	4	0	0	100	100	-9999	No remarks
2008-07-29	LOI4_080729	JoNy	LOI4	C	0	4	0	0	19	19	-9999	No remarks
2008-07-29	LOI4_080729	JoNy	LOI4	D	0	4	0	0	100	100	-9999	No remarks
2008-08-06	LOI1_080806	JoNy	LOI1	A	0	7	0	0	96	96	-9999	No remarks
2008-08-06	LOI1_080806	JoNy	LOI1	B	0	7	0	0	100	100	-9999	No remarks
2008-08-06	LOI1_080806	JoNy	LOI1	C	0	7	0	0	100	100	-9999	No remarks
2008-08-06	LOI1_080806	JoNy	LOI1	D	0	7	1	0	99	100	-9999	No remarks
2008-08-06	LOI2_080806	JoNy	LOI2	A	0	7	0	0	100	100	-9999	No remarks
2008-08-06	LOI2_080806	JoNy	LOI2	B	0	7	0	0	100	100	-9999	No remarks
2008-08-06	LOI2_080806	JoNy	LOI2	C	0	7	0	0	100	100	-9999	No remarks
2008-08-06	LOI2_080806	JoNy	LOI2	D	0	7	0	0	100	100	-9999	No remarks
2008-08-06	LOI3_080806	JoNy	LOI3	A	0	7	0	0	100	100	-9999	No remarks
2008-08-06	LOI3_080806	JoNy	LOI3	B	0	7	0	0	97	97	-9999	No remarks
2008-08-06	LOI3_080806	JoNy	LOI3	C	0	7	0	0	100	100	-9999	No remarks
2008-08-06	LOI3_080806	JoNy	LOI3	D	0	7	0	0	100	100	-9999	No remarks
2008-08-06	LOI4_080806	JoNy	LOI4	A	0	5	0	0	100	100	-9999	No remarks
2008-08-06	LOI4_080806	JoNy	LOI4	B	0	5	0	0	100	100	-9999	No remarks
2008-08-06	LOI4_080806	JoNy	LOI4	C	0	5	0	0	39	39	-9999	No remarks
2008-08-06	LOI4_080806	JoNy	LOI4	D	0	5	0	0	100	100	-9999	No remarks
2008-08-12	LOI1_080812	JoNy	LOI1	A	0	0	0	0	96	96	-9999	No remarks
2008-08-12	LOI1_080812	JoNy	LOI1	B	0	0	0	0	100	100	-9999	No remarks
2008-08-12	LOI1_080812	JoNy	LOI1	C	0	0	0	0	100	100	-9999	No remarks
2008-08-12	LOI1_080812	JoNy	LOI1	D	0	0	1	0	99	100	-9999	No remarks
2008-08-12	LOI2_080812	JoNy	LOI2	A	0	0	0	0	100	100	-9999	No remarks
2008-08-12	LOI2_080812	JoNy	LOI2	B	0	0	0	0	100	100	-9999	No remarks
2008-08-12	LOI2_080812	JoNy	LOI2	C	0	0	0	0	100	100	-9999	No remarks
2008-08-12	LOI2_080812	JoNy	LOI2	D	0	0	0	0	100	100	-9999	No remarks
2008-08-12	LOI3_080812	JoNy	LOI3	A	0	0	0	0	100	100	-9999	No remarks
2008-08-12	LOI3_080812	JoNy	LOI3	B	0	0	0	0	83	83	-9999	No remarks
2008-08-12	LOI3_080812	JoNy	LOI3	C	0	0	0	0	100	100	-9999	No remarks
2008-08-12	LOI3_080812	JoNy	LOI3	D	0	0	0	0	100	100	-9999	No remarks
2008-08-12	LOI4_080812	JoNy	LOI4	A	0	0	0	0	100	100	-9999	No remarks
2008-08-12	LOI4_080812	JoNy	LOI4	B	0	0	0	0	100	100	-9999	No remarks
2008-08-12	LOI4_080812	JoNy	LOI4	C	0	0	0	0	44	44	-9999	No remarks
2008-08-12	LOI4_080812	JoNy	LOI4	D	0	0	0	0	100	100	-9999	No remarks
2008-08-19	LOI1_080819	JoNy	LOI1	A	0	8	0	0	100	100	-9999	No remarks
2008-08-19	LOI1_080819	JoNy	LOI1	B	0	8	0	0	100	100	-9999	No remarks
2008-08-19	LOI1_080819	JoNy	LOI1	C	0	8	0	0	100	100	-9999	No remarks
2008-08-19	LOI1_080819	JoNy	LOI1	D	0	8	0	1	99	100	-9999	No remarks
2008-08-19	LOI2_080819	JoNy	LOI2	A	0	8	0	0	100	100	-9999	No remarks
2008-08-19	LOI2_080819	JoNy	LOI2	B	0	8	0	0	100	100	-9999	No remarks
2008-08-19	LOI2_080819	JoNy	LOI2	C	0	8	0	0	100	100	-9999	No remarks
2008-08-19	LOI2_080819	JoNy	LOI2	D	0	8	0	0	100	100	-9999	No remarks
2008-08-19	LOI3_080819	JoNy	LOI3	A	0	8	0	0	100	100	-9999	No remarks
2008-08-19	LOI3_080819	JoNy	LOI3	B	0	8	0	0	89	89	-9999	No remarks
2008-08-19	LOI3_080819	JoNy	LOI3	C	0	8	0	0	100	100	-9999	No remarks
2008-08-19	LOI3_080819	JoNy	LOI3	D	0	8	0	0	100	100	-9999	No remarks
2008-08-19	LOI4_080819	JoNy	LOI4	A	0	8	0	0	100	100	-9999	No remarks
2008-08-19	LOI4_080819	JoNy	LOI4	B	0	8	0	0	100	100	-9999	No remarks
2008-08-19	LOI4_080819	JoNy	LOI4	C	0	8	0	0	47	47	-9999	No remarks
2008-08-19	LOI4_080819	JoNy	LOI4	D	0	8	0	0	100	100	-9999	No remarks
2008-08-26	LOI1_080826	JoNy	LOI1	A	0	2	0	0	60	60	-9999	No remarks
2008-08-26	LOI1_080826	JoNy	LOI1	B	0	2	0	0	100	100	-9999	No remarks
2008-08-26	LOI1_080826	JoNy	LOI1	C	0	2	0	0	100	100	-9999	No remarks
2008-08-26	LOI1_080826	JoNy	LOI1	D	0	2	0	0	100	100	-9999	No remarks
2008-08-26	LOI2_080826	JoNy	LOI2	A	0	3	0	0	100	100	-9999	No remarks
2008-08-26	LOI2_080826	JoNy	LOI2	B	0	3	0	0	100	100	-9999	No remarks
2008-08-26	LOI2_080826	JoNy	LOI2	C	0	3	0	0	100	100	-9999	No remarks
2008-08-26	LOI2_080826	JoNy	LOI2	D	0	3	0	0	100	100	-9999	No remarks
2008-08-26	LOI3_080826	JoNy	LOI3	A	0	5	0	0	73	73	-9999	No remarks
2008-08-26	LOI3_080826	JoNy	LOI3	B	0	5	0	0	58	58	-9999	No remarks
2008-08-26	LOI3_080826	JoNy	LOI3	C	0	5	0	0	47	47	-9999	No remarks
2008-08-26	LOI3_080826	JoNy	LOI3	D	0	5	0	0	100	100	-9999	No remarks
2008-08-26	LOI4_080826	JoNy	LOI4	A	0	5	0	0	100	100	-9999	No remarks
2008-08-26	LOI4_080826	JoNy	LOI4	B	0	5	0	0	100	100	-9999	No remarks
2008-08-26	LOI4_080826	JoNy	LOI4	C	0	5	0	0	48	48	-9999	No remarks
2008-08-26	LOI4_080826	JoNy	LOI4	D	0	5	0	0	100	100	-9999	No remarks
2008-09-03	LOI1_080903	JoNy	LOI1	A	0	8	0	0	48	48	-9999	No remarks
2008-09-03	LOI1_080903	JoNy	LOI1	B	0	8	0	0	88	88	-9999	No remarks
2008-09-03	LOI1_080903	JoNy	LOI1	C	0	8	0	0	100	100	-9999	No remarks
2008-09-03	LOI1_080903	JoNy	LOI1	D	0	8	0	0	100	100	-9999	No remarks
2008-09-03	LOI2_080903	JoNy	LOI2	A	0	8	0	0	100	100	-9999	No remarks
2008-09-03	LOI2_080903	JoNy	LOI2	B	0	8	0	0	100	100	-9999	No remarks
2008-09-03	LOI2_080903	JoNy	LOI2	C	0	8	0	0	100	100	-9999	No remarks
2008-09-03	LOI2_080903	JoNy	LOI2	D	0	8	0	0	100	100	-9999	No remarks
2008-09-03	LOI3_080903	JoNy	LOI3	A	0	8	0	0	77	77	-9999	No remarks
2008-09-03	LOI3_080903	JoNy	LOI3	B	0	8	-9999	-9999	-9999	-9999	-9999	No remarks
2008-09-03	LOI3_080903	JoNy	LOI3	C	0	8	-9999	-9999	-9999	-9999	-9999	No remarks
2008-09-03	LOI3_080903	JoNy	LOI3	D	0	8	-9999	-9999	-9999	-9999	-9999	No remarks
2008-09-03	LOI4_080903	JoNy	LOI4	A	0	8	0	0	100	100	-9999	No remarks
2008-09-03	LOI4_080903	JoNy	LOI4	B	0	8	0	0	100	100	-9999	No remarks
2008-09-03	LOI4_080903	JoNy	LOI4	C	0	8	0	0	29	29	-9999	No remarks
2008-09-03	LOI4_080903	JoNy	LOI4	D	0	8	0	0	100	100	-9999	No remarks
2008-09-09	LOI1_080909	JoNy	LOI1	A	0	2	0	0	49	49	-9999	No remarks
2008-09-09	LOI1_080909	JoNy	LOI1	B	0	2	0	0	100	100	-9999	No remarks
2008-09-09	LOI1_080909	JoNy	LOI1	C	0	2	0	0	100	100	-9999	No remarks
2008-09-09	LOI1_080909	JoNy	LOI1	D	0	2	0	0	100	100	-9999	No remarks
2008-09-09	LOI2_080909	JoNy	LOI2	A	0	1	0	0	100	100	-9999	No remarks
2008-09-09	LOI2_080909	JoNy	LOI2	B	0	1	0	0	100	100	-9999	No remarks
2008-09-09	LOI2_080909	JoNy	LOI2	C	0	1	0	0	100	100	-9999	No remarks
2008-09-09	LOI2_080909	JoNy	LOI2	D	0	1	0	0	100	100	-9999	No remarks
2008-09-09	LOI3_080909	JoNy	LOI3	A	0	1	0	0	65	65	-9999	No remarks
2008-09-09	LOI3_080909	JoNy	LOI3	B	0	1	0	0	28	28	-9999	No remarks
2008-09-09	LOI3_080909	JoNy	LOI3	C	0	1	0	0	58	58	-9999	No remarks
2008-09-09	LOI3_080909	JoNy	LOI3	D	0	1	0	0	45	45	-9999	No remarks
