Plot;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Cas1;;187;187;194;180;185;184;178;175;167;185;178;186;173;176;172;187;167;187;187;179;184;209;225;180
Cas2;188;201;202;207;;193;188;184;187;173;201;186;193;180;186;176;198;173;192;197;184;192;Not reaching 50%;Not reaching 50%;187
Cas3;191;199;200;207;;192;190;183;182;173;200;185;194;178;184;183;195;173;194;198;186;190;224;Not reaching 50%;179
Cas4;197;196;202;207;;200;188;186;185;183;200;186;195;183;190;185;195;176;199;198;188;196;228;Not reaching 50%;186
Dry1;171;173;177;184;178;173;176;181;173;164;177;173;172;170;170;170;173;171;177;179;173;172;182;164;Before 171
Dry2;195;216;220;;206;213;210;200;200;198;215;192;204;188;200;193;207;183;213;217;201;204;Not reaching 50%;182;201
Dry3;184;177;187;194;179;187;179;180;175;164;180;177;174;175;174;171;176;177;194;183;176;188;204;173;175
Dry4;179;187;190;195;178;187;179;174;174;164;187;178;186;173;172;172;190;171;188;188;179;178;208;163;174
Dry5;182;186;182;188;174;186;179;179;172;164;172;171;175;172;172;167;182;171;187;183;173;181;201;165;Before 171
Dry6;201;221;219;231;203;210;213;198;199;194;214;191;206;185;200;194;207;180;213;220;197;207;Not reaching 50%;182;205
Pap1;196;201;205;214;186;193;193;186;193;185;206;188;195;184;190;179;203;184;199;199;186;194;Not reaching 50%;203;187
Pap2;196;204;207;211;197;195;194;189;190;190;208;188;204;185;194;187;203;185;206;211;194;205;Not reaching 50%;Not reaching 50%;187
Pap3;196;200;207;213;192;198;194;192;187;187;201;187;199;186;193;187;200;185;200;204;194;194;Not reaching 50%;196;201
Pap4;197;219;223;227;202;208;214;198;194;194;214;192;204;186;197;194;207;182;211;227;202;205;Not reaching 50%;Not reaching 50%;Not reaching 50%
Sal1;158;157;163;165;163;159;160;168;156;155;165;161;161;155;162;156;167;157;165;171;178;162;171;154;Before 171
Sal2;173;180;191;198;180;180;179;179;173;165;196;177;187;167;177;174;192;164;188;191;156;178;210;161;173
Sal3;172;176;179;186;163;175;167;166;159;157;174;165;174;152;161;159;180;158;179;179;167;172;197;155;Before 171
Sal4;181;174;183;184;169;179;177;174;173;164;180;170;174;167;174;171;Before 184;159;188;181;172;183;203;164;171
Sal5;;;;;;;;186;175;164;194;174;193;168;179;174;193;164;193;196;178;;;;
Sal6;;;;;;;;;197;184;200;179;194;171;184;180;197;164;200;203;186;187;235;203;180
Sal7;;;;;;;;;187;187;202;182;195;179;186;185;194;170;201;Extrapolated 200;187;192;235;Not reaching 50%;183
Sax1;;151;156;158;158;159;154;165;157;144;151;160;159;149;153;144;158;159;159;169;Before 155;150;163;Before 150;Before 171
Sax2;;153;158;165;161;159;157;165;157;152;157;158;158;150;157;151;Before 155;159;162;172;Before 155;156;174;Before 150;Before 171
Sax3;157;152;160;167;159;160;158;165;Before 154;146;172;165;159;146;161;151;166;159;164;171;155;170;176;154;Before 171
Sil1;172;175;172;179;178;179;174;182;173;165;170;173;172;174;174;172;176;173;182;188;172;179;190;173;173
Sil2;175;180;182;181;184;181;178;185;181;166;182;179;173;184;179;175;175;175;191;194;175;184;197;173;175
Sil3;182;177;174;187;180;185;179;185;172;166;194;179;173;180;178;172;190;177;193;193;178;198;203;176;179
Sil4;208;222;232;Not reaching 50%;210;210;209;201;201;197;194;193;207;187;199;198;208;182;210;220;200;205;Not reaching 50%;196;189
