Site;Plot;Latitude;Longitude;Plot_sixe_m;Plot_size
Nuuk;ERI1;64.1346;-51.3837;4*10;40
Nuuk;ERI2;64.1312;-51.3873;10*10;100
Nuuk;ERI3;64.1348;-51.3789;12*17;204
Nuuk;ERI4;64.1333;-51.3666;5*9;45
Nuuk;SAL1;64.1325;-51.3729;7*11;77
Nuuk;SAL2;64.1316;-51.3714;8*8;64
Nuuk;SAL3;64.1337;-51.3678;6*9;54
Nuuk;SAL4;64.1374;-51.3741;4*5;20
Nuuk;SIL1;64.1328;-51.3745;5.5*7;38.5
Nuuk;SIL2;64.1364;-51.3703;11*11;121
Nuuk;SIL3;6.4137;-51.3736;7*11;77
Nuuk;SIL4;64.1361;-51.3681;5*12;60
Nuuk;LOI1;64.1323;-51.3759;1.8*3.85;6.9
Nuuk;LOI2;64.1316;-51.3705;1.7*2.95;5
Nuuk;LOI3;64.1324;-51.3708;1.6*2.6;4.2
Nuuk;LOI4;64.1328;-51.3702;1.6*3.0;4.8
