Site;Plot_original;Plot;UTM_E;UTM_N;Longitude;Latitude;Plot_size_m;Plot_size
Zackenberg;Cassiope 1;Cas1;513.3;8.264.809;5133;8264809;1x2;2
Zackenberg;Cassiope 2;Cas2;513.23;8.265.290;51323;8265290;1x3;3
Zackenberg;Cassiope 3;Cas3;513.42;8.264.746;51342;8264746;1x2;2
Zackenberg;Cassiope 4;Cas4;513.583;8.264.358;513583;8264358;1x3;3
Zackenberg;Dryas 1;Dry1;513.116;8.264.708;513116;8264708;1x4;4
Zackenberg;Dryas 2;Dry2;513.33;8.264.771;51333;8264771;6x 10;60
Zackenberg;Dryas 3;Dry3;513.802;8.265.062;513802;8265062;1x2;2
Zackenberg;Dryas 4;Dry4;513.348;8.264.694;513348;8264694;2x3;6
Zackenberg;Dryas 5;Dry5;513.317;8.264.541;513317;8264541;2x3;6
Zackenberg;Dryas 6;Dry6;513.776;8.264.161;513776;8264161;7x 13;91
Zackenberg;Papaver 1;Pap1;513.215;8.265.280;513215;8265280;7x 15;105
Zackenberg;Papaver 2;Pap2;513.729;8.264.955;513729;8264955;10x 15;150
Zackenberg;Papaver 3;Pap3;513.575;8.264.353;513575;8264353;9x 10;90
Zackenberg;Papaver 4;Pap4;513.776;8.264.161;513776;8264161;7x 13;91
Zackenberg;Salix 1;Sal1;513.041;8.264.643;513041;8264643;6x 10;60
Zackenberg;Salix 2;Sal2;513.237;8.264.729;513237;8264729;15x 20;300
Zackenberg;Salix 3;Sal3;513.294;8.264.805;513294;8264805;6x6;36
Zackenberg;Salix 4;Sal4;513.788;8.265.058;513788;8265058;10x 15;150
Zackenberg;Salix 5;Sal5;513.729;8.264.955;513729;8264955;10x 15;150
Zackenberg;Salix 6;Sal6;513.645;8.264.718;513645;8264718;10x 15;150
Zackenberg;Salix 7;Sal7;513.33;8.264.771;51333;8264771;6x 10;60
Zackenberg;Saxifraga 1;Sax1;512.867;8.264.603;512867;8264603;2x3.5;7
Zackenberg;Saxifraga 2;Sax2;512.839;8.264.677;512839;8264677;2x3;6
Zackenberg;Saxifraga 3;Sax3;512.994;8.264.433;512994;8264433;2x5;10
Zackenberg;Silene 1;Sil1;512.867;8.264.603;512867;8264603;2x3.5;7
Zackenberg;Silene 2;Sil2;512.839;8.264.677;512839;8264677;2x3;6
Zackenberg;Silene 3;Sil3;512.994;8.264.433;512994;8264433;2x5;10
Zackenberg;Silene 4;Sil4;513.409;8.264.686;513409;8264686;1x1;1
Nuuk;ERI1;N_ERI1;;;-51.3837;64.1346;4*10;40
Nuuk;ERI2;N_ERI2;;;-51.3873;64.1312;10*10;100
Nuuk;ERI3;N_ERI3;;;-51.3789;64.1348;12*17;204
Nuuk;ERI4;N_ERI4;;;-51.3666;64.1333;5*9;45
Nuuk;SAL1;N_SAL1;;;-51.3729;64.1325;7*11;77
Nuuk;SAL2;N_SAL2;;;-51.3714;64.1316;8*8;64
Nuuk;SAL3;N_SAL3;;;-51.3678;64.1337;6*9;54
Nuuk;SAL4;N_SAL4;;;-51.3741;64.1374;4*5;20
Nuuk;SIL1;N_SIL1;;;-51.3745;64.1328;5.5*7;38.5
Nuuk;SIL2;N_SIL2;;;-51.3703;64.1364;11*11;121
Nuuk;SIL3;N_SIL3;;;-51.3736;6.4137;7*11;77
Nuuk;SIL4;N_SIL4;;;-51.3681;64.1361;5*12;60
Nuuk;LOI1;N_LOI1;;;-51.3759;64.1323;1.8*3.85;6.9
Nuuk;LOI2;N_LOI2;;;-51.3705;64.1316;1.7*2.95;5
Nuuk;LOI3;N_LOI3;;;-51.3708;64.1324;1.6*2.6;4.2
Nuuk;LOI4;N_LOI4;;;-51.3702;64.1328;1.6*3.0;4.8
