Date	Photo_no	Plot	Section	Snow	Cloud_cover	Buds	Flowers	Senescent	TotalFlowering	TotalCount	Remarks
2008-06-04	NA	SIL1	A	0	0	0	0	0	0	-9999	No remarks
2008-06-04	NA	SIL1	B	0	0	0	0	0	0	-9999	No remarks
2008-06-04	NA	SIL1	C	0	0	0	0	0	0	-9999	No remarks
2008-06-04	NA	SIL1	D	0	0	0	0	0	0	-9999	No remarks
2008-06-04	NA	SIL2	A	0	0	50	0	0	50	-9999	No remarks
2008-06-04	NA	SIL2	B	0	0	49	1	0	50	-9999	1 larvae
2008-06-04	NA	SIL2	C	0	0	0	50	0	50	-9999	1 black beetle
2008-06-04	NA	SIL2	D	0	0	0	48	0	48	-9999	No remarks
2008-06-04	NA	SIL3	A	0	0	50	0	0	50	-9999	No remarks
2008-06-04	NA	SIL3	B	0	0	0	0	0	0	-9999	No remarks
2008-06-04	NA	SIL3	C	0	0	50	0	0	50	-9999	No remarks
2008-06-04	NA	SIL3	D	0	0	21	0	0	21	-9999	1 black beetle
2008-06-04	NA	SIL4	A	0	0	0	0	0	0	-9999	No remarks
2008-06-04	NA	SIL4	B	0	0	27	0	0	27	-9999	No remarks
2008-06-04	NA	SIL4	C	0	0	50	0	0	50	-9999	No remarks
2008-06-04	NA	SIL4	D	0	0	50	0	0	50	-9999	No remarks
2008-06-10	SIL1_080610	SIL1	A	0	8	11	0	0	11	-9999	No remarks
2008-06-10	SIL1_080610	SIL1	B	0	8	0	0	0	0	-9999	No remarks
2008-06-10	SIL1_080610	SIL1	C	0	8	1	0	0	1	-9999	No remarks
2008-06-10	SIL1_080610	SIL1	D	0	8	13	0	0	13	-9999	No remarks
2008-06-10	SIL2_080610	SIL2	A	0	8	41	9	0	50	-9999	No remarks
2008-06-10	SIL2_080610	SIL2	B	0	8	42	8	0	50	-9999	No remarks
2008-06-10	SIL2_080610	SIL2	C	0	8	19	31	0	50	-9999	No remarks
2008-06-10	SIL2_080610	SIL2	D	0	8	50	0	0	50	-9999	No remarks
2008-06-10	SIL3_080610	SIL3	A	0	8	49	1	0	50	-9999	No remarks
2008-06-10	SIL3_080610	SIL3	B	0	8	50	0	0	50	-9999	No remarks
2008-06-10	SIL3_080610	SIL3	C	0	8	47	3	0	50	-9999	No remarks
2008-06-10	SIL3_080610	SIL3	D	0	8	50	0	0	50	-9999	No remarks
2008-06-10	SIL4_080610	SIL4	A	0	8	1	1	0	2	-9999	No remarks
2008-06-10	SIL4_080610	SIL4	B	0	8	50	0	0	50	-9999	No remarks
2008-06-10	SIL4_080610	SIL4	C	0	8	50	0	0	50	-9999	No remarks
2008-06-10	SIL4_080610	SIL4	D	0	8	49	1	0	50	-9999	No remarks
2008-06-17	SIL1_080617	SIL1	A	0	0	22	0	0	22	-9999	No remarks
2008-06-17	SIL1_080617	SIL1	B	0	0	6	0	0	6	-9999	No remarks
