Date	Plot	Section	E_s_normal	E_s_infertile	E_t_normal	E_t_infertile	Field_remarks	General_remarks
1996-08-03	Eri1	A-D	275	120	0	0	No remarks	No remarks
1996-08-03	Eri3	A-D	255	137	0	0	No remarks	No remarks
1996-08-17	Eri2	A-D	468	69	98	0	No remarks	No remarks
1996-08-17	Eri4	A-D	230	30	0	0	No remarks	No remarks
1997-08-10	Eri1	A	18	104	0	0	No remarks	No remarks
1997-08-10	Eri1	B	0	105	3	0	No remarks	No remarks
1997-08-10	Eri1	C	2	101	0	0	No remarks	No remarks
1997-08-10	Eri1	D	13	80	0	0	No remarks	No remarks
1997-08-18	Eri2	A	43	70	3	0	No remarks	No remarks
1997-08-18	Eri2	B	22	70	38	0	No remarks	No remarks
1997-08-18	Eri2	C	13	67	13	0	No remarks	No remarks
1997-08-18	Eri2	D	3	56	5	0	No remarks	No remarks
1997-08-18	Eri3	A	2	115	0	0	No remarks	No remarks
1997-08-18	Eri3	B	23	134	0	0	No remarks	No remarks
1997-08-18	Eri3	C	0	114	0	0	No remarks	No remarks
1997-08-18	Eri3	D	9	148	0	0	No remarks	No remarks
1997-08-18	Eri4	A	125	51	0	0	No remarks	No remarks
1997-08-18	Eri4	B	49	31	0	0	No remarks	No remarks
1997-08-18	Eri4	C	74	108	0	0	No remarks	No remarks
1997-08-18	Eri4	D	149	168	0	0	No remarks	No remarks
1998-08-19	Eri1	A	6	66	0	0	No remarks	No remarks
1998-08-19	Eri1	B	1	87	1	0	No remarks	No remarks
1998-08-19	Eri1	C	0	38	0	0	No remarks	No remarks
1998-08-19	Eri1	D	2	57	0	0	No remarks	No remarks
1998-08-19	Eri2	A	11	53	0	1	No remarks	No remarks
1998-08-19	Eri2	B	10	53	9	1	No remarks	No remarks
1998-08-19	Eri2	C	10	18	3	4	No remarks	No remarks
1998-08-19	Eri2	D	4	13	0	3	No remarks	No remarks
1998-08-19	Eri3	A	42	90	0	0	No remarks	No remarks
1998-08-19	Eri3	B	72	52	0	0	No remarks	No remarks
1998-08-19	Eri3	C	51	54	0	0	No remarks	No remarks
1998-08-19	Eri3	D	42	79	0	0	No remarks	No remarks
1998-08-19	Eri4	A	18	42	0	0	No remarks	No remarks
1998-08-19	Eri4	B	14	25	0	0	No remarks	No remarks
1998-08-19	Eri4	C	7	8	0	0	No remarks	No remarks
1998-08-19	Eri4	D	38	27	0	0	No remarks	No remarks
1999-08-13	Eri1	A	4	75	0	0	No remarks	No remarks
1999-08-13	Eri1	B	0	71	1	0	No remarks	No remarks
1999-08-13	Eri1	C	3	71	0	0	No remarks	No remarks
1999-08-13	Eri1	D	1	84	0	0	No remarks	No remarks
1999-08-23	Eri2	A	3	59	0	0	No remarks	No remarks
1999-08-23	Eri2	B	4	50	12	1	No remarks	No remarks
1999-08-23	Eri2	C	6	32	1	1	No remarks	No remarks
1999-08-23	Eri2	D	2	28	1	0	No remarks	No remarks
1999-08-24	Eri3	A	46	119	0	0	No remarks	No remarks
1999-08-24	Eri3	B	16	121	0	0	No remarks	No remarks
1999-08-24	Eri3	C	0	148	0	0	No remarks	No remarks
1999-08-24	Eri3	D	24	113	0	0	No remarks	No remarks
1999-08-24	Eri4	A	60	35	0	0	No remarks	No remarks
1999-08-24	Eri4	B	101	33	0	0	No remarks	No remarks
1999-08-24	Eri4	C	69	67	0	0	No remarks	No remarks
1999-08-24	Eri4	D	96	54	0	0	No remarks	No remarks
2000-07-20	Eri1	A	10	64	0	0	No remarks	No remarks
2000-07-20	Eri1	B	2	47	0	1	No remarks	No remarks
2000-07-20	Eri1	C	0	42	0	0	No remarks	No remarks
2000-07-20	Eri1	D	4	60	0	0	No remarks	No remarks
2000-07-20	Eri2	A	6	90	2	6	No remarks	No remarks
2000-07-20	Eri2	B	2	40	4	20	No remarks	No remarks
2000-07-20	Eri2	C	0	14	3	4	No remarks	No remarks
2000-07-20	Eri2	D	5	44	1	3	No remarks	No remarks
2000-07-20	Eri3	A	0	14	0	0	No remarks	No remarks
2000-07-20	Eri3	B	0	15	0	0	No remarks	No remarks
2000-07-20	Eri3	C	0	4	0	0	No remarks	No remarks
2000-07-20	Eri3	D	0	5	0	0	No remarks	No remarks
2000-07-29	Eri4	A	0	38	0	0	No remarks	No remarks
2000-07-29	Eri4	B	0	26	0	0	No remarks	No remarks
2000-07-29	Eri4	C	0	27	0	0	No remarks	No remarks
2000-07-29	Eri4	D	0	26	0	0	No remarks	No remarks
2001-08-12	Eri1	A	8	36	0	0	No remarks	No remarks
2001-08-12	Eri1	B	8	17	0	0	No remarks	No remarks
2001-08-12	Eri1	C	2	20	0	0	No remarks	No remarks
2001-08-12	Eri1	D	2	18	0	0	No remarks	No remarks
2001-08-12	Eri2	A	50	96	3	8	No remarks	No remarks
2001-08-12	Eri2	B	25	41	8	13	No remarks	No remarks
2001-08-12	Eri2	C	15	29	4	9	No remarks	No remarks
2001-08-12	Eri2	D	29	73	2	9	No remarks	No remarks
2001-08-12	Eri3	A	40	69	0	0	No remarks	No remarks
2001-08-12	Eri3	B	21	53	0	0	No remarks	No remarks
2001-08-12	Eri3	C	24	91	0	0	No remarks	No remarks
2001-08-12	Eri3	D	20	49	0	0	No remarks	No remarks
2001-08-12	Eri4	A	12	20	0	0	No remarks	No remarks
2001-08-12	Eri4	B	14	10	0	0	No remarks	No remarks
2001-08-12	Eri4	C	6	16	0	0	No remarks	No remarks
2001-08-12	Eri4	D	19	24	0	0	No remarks	No remarks
2002-07-31	Eri2	A	45	106	6	-9999	No differentiation between E.t normal and infertile	No remarks
2002-07-31	Eri2	B	34	95	27	-9999	No differentiation between E.t normal and infertile	No remarks
2002-07-31	Eri2	C	26	80	27	-9999	No differentiation between E.t normal and infertile	No remarks
2002-07-31	Eri2	D	33	162	7	-9999	No differentiation between E.t normal and infertile	No remarks
2002-07-31	Eri4	A	101	18	0	0	No differentiation between E.t normal and infertile	No remarks
2002-07-31	Eri4	B	101	23	0	0	No differentiation between E.t normal and infertile	No remarks
2002-07-31	Eri4	C	99	41	0	0	No differentiation between E.t normal and infertile	No remarks
2002-07-31	Eri4	D	166	41	0	0	No differentiation between E.t normal and infertile	No remarks
2002-08-09	Eri1	A	107	77	0	0	No remarks	No remarks
2002-08-09	Eri1	B	39	56	3	0	No remarks	No remarks
2002-08-09	Eri1	C	78	41	0	0	No remarks	No remarks
2002-08-09	Eri1	D	139	45	0	0	No remarks	No remarks
2002-08-26	Eri3	A	11	58	0	0	No remarks	No remarks
2002-08-26	Eri3	B	11	73	0	0	No remarks	No remarks
2002-08-26	Eri3	C	9	42	0	0	No remarks	No remarks
2002-08-26	Eri3	D	18	38	0	0	No remarks	No remarks
2003-07-24	Eri1	A	16	288	2	-9999	No distinction between normal and infertile E.t.	No remarks
2003-07-24	Eri1	B	4	179	9	-9999	No distinction between normal and infertile E.t.	No remarks
2003-07-24	Eri1	C	7	96	0	-9999	No distinction between normal and infertile E.t.	No remarks
2003-07-24	Eri1	D	20	233	0	-9999	No distinction between normal and infertile E.t.	No remarks
2003-07-24	Eri2	A	4	118	0	0	Two buds.	No remarks
2003-07-24	Eri2	B	1	69	26	-9999	No distinction between normal and infertile E.t.	No remarks
2003-07-24	Eri2	C	5	76	13	-9999	No distinction between normal and infertile E.t.	No remarks
2003-07-24	Eri2	D	1	65	0	-9999	No distinction between normal and infertile E.t.	No remarks
2003-07-24	Eri3	A	2	53	0	0	No remarks	No remarks
2003-07-24	Eri3	B	2	56	0	0	No remarks	No remarks
2003-07-24	Eri3	C	6	58	0	0	No remarks	No remarks
2003-07-24	Eri3	D	0	60	0	0	No remarks	No remarks
2003-07-24	Eri4	A	15	66	0	0	No remarks	No remarks
2003-07-24	Eri4	B	35	46	0	0	No remarks	No remarks
2003-07-24	Eri4	C	36	81	0	0	No remarks	No remarks
2003-07-24	Eri4	D	52	114	0	0	No remarks	No remarks
2004-07-10	Eri2	A	184	110	20	0	No remarks	No remarks
2004-07-10	Eri2	B	136	71	74	1	No remarks	No remarks
2004-07-10	Eri2	C	171	32	17	0	No remarks	No remarks
2004-07-10	Eri2	D	195	57	5	0	No remarks	No remarks
2004-07-12	Eri1	A	153	40	1	0	No remarks	No remarks
2004-07-12	Eri1	B	134	80	11	0	No remarks	No remarks
2004-07-12	Eri1	C	95	22	0	0	No remarks	No remarks
2004-07-12	Eri1	D	226	30	0	0	No remarks	No remarks
2004-07-17	Eri3	A	87	1	0	0	Plot heavily infected by aphids	No remarks
2004-07-17	Eri3	B	95	0	0	0	Plot heavily infected by aphids	No remarks
2004-07-17	Eri3	C	91	0	0	0	Plot heavily infected by aphids	No remarks
2004-07-17	Eri3	D	80	5	0	0	Plot heavily infected by aphids	No remarks
2004-07-17	Eri4	A	40	25	0	0	No remarks	No remarks
2004-07-17	Eri4	B	45	26	0	0	No remarks	No remarks
2004-07-17	Eri4	C	39	43	0	0	No remarks	No remarks
2004-07-17	Eri4	D	52	72	0	0	No remarks	No remarks
2005-07-25	Eri1	A	21	15	0	0	No remarks	No remarks
2005-07-25	Eri1	B	44	39	0	0	No remarks	No remarks
2005-07-25	Eri1	C	6	10	0	0	No remarks	No remarks
2005-07-25	Eri1	D	49	17	0	0	No remarks	No remarks
2005-07-25	Eri2	A	26	122	6	0	No remarks	No remarks
2005-07-25	Eri2	B	52	175	30	0	No remarks	No remarks
2005-07-25	Eri2	C	24	79	5	0	No remarks	No remarks
2005-07-25	Eri2	D	23	96	3	0	No remarks	No remarks
2005-07-25	Eri3	A	13	2	0	0	No remarks	No remarks
2005-07-25	Eri3	B	19	3	0	0	No remarks	No remarks
2005-07-25	Eri3	C	6	1	0	0	No remarks	No remarks
2005-07-25	Eri3	D	20	3	0	0	No remarks	No remarks
2005-07-25	Eri4	A	0	20	0	0	No remarks	No remarks
2005-07-25	Eri4	B	1	9	0	0	No remarks	No remarks
2005-07-25	Eri4	C	1	17	0	0	No remarks	No remarks
2005-07-25	Eri4	D	0	9	0	0	No remarks	No remarks
2006-08-05	Eri1	A	10	90	0	0	No remarks	No remarks
2006-08-05	Eri1	B	5	71	0	0	No remarks	No remarks
2006-08-05	Eri1	C	2	40	0	0	No remarks	No remarks
2006-08-05	Eri1	D	6	78	0	0	No remarks	No remarks
2006-08-05	Eri2	A	17	74	1	0	No remarks	No remarks
2006-08-05	Eri2	B	57	148	26	6	No remarks	No remarks
2006-08-05	Eri2	C	30	92	13	1	No remarks	No remarks
2006-08-05	Eri2	D	25	97	1	1	No remarks	No remarks
2006-08-05	Eri4	A	0	5	0	0	No remarks	No remarks
2006-08-05	Eri4	B	1	4	0	0	No remarks	No remarks
2006-08-05	Eri4	C	3	4	0	0	No remarks	No remarks
2006-08-05	Eri4	D	0	6	0	0	No remarks	No remarks
2006-08-10	Eri3	A	16	7	0	0	No remarks	No remarks
2006-08-10	Eri3	B	8	5	0	0	No remarks	No remarks
2006-08-10	Eri3	C	1	3	0	0	No remarks	No remarks
2006-08-10	Eri3	D	3	1	0	0	No remarks	No remarks
2007-08-03	Eri1	A	90	70	0	0	No remarks	No remarks
2007-08-03	Eri1	B	93	73	1	0	No remarks	No remarks
2007-08-03	Eri1	C	48	29	0	0	No remarks	No remarks
2007-08-03	Eri1	D	90	40	0	0	No remarks	No remarks
2007-08-03	Eri2	A	19	7	2	0	No remarks	No remarks
2007-08-03	Eri2	B	37	37	5	1	No remarks	No remarks
2007-08-03	Eri2	C	11	7	3	0	No remarks	No remarks
2007-08-03	Eri2	D	14	10	2	0	No remarks	No remarks
2007-08-03	Eri3	A	9	0	0	0	No remarks	No remarks
2007-08-03	Eri3	B	8	2	0	0	No remarks	No remarks
2007-08-03	Eri3	C	2	0	0	0	No remarks	No remarks
2007-08-03	Eri3	D	8	2	0	0	No remarks	No remarks
2007-08-03	Eri4	A	8	7	0	0	No remarks	No remarks
2007-08-03	Eri4	B	10	7	0	0	No remarks	No remarks
2007-08-03	Eri4	C	7	9	0	0	No remarks	No remarks
2007-08-03	Eri4	D	3	4	0	0	No remarks	No remarks
2008-07-07	Eri1	A	48	9	0	0	No remarks	No remarks
2008-07-07	Eri1	B	97	21	1	0	No remarks	No remarks
2008-07-07	Eri1	C	30	7	0	0	No remarks	No remarks
2008-07-07	Eri1	D	89	9	0	0	No remarks	No remarks
2008-07-07	Eri2	A	18	17	0	0	No remarks	No remarks
2008-07-07	Eri2	B	73	17	12	0	No remarks	No remarks
2008-07-07	Eri2	C	16	10	1	0	No remarks	No remarks
2008-07-07	Eri2	D	20	22	1	0	No remarks	No remarks
2008-07-07	Eri3	A	6	6	0	0	No remarks	No remarks
2008-07-07	Eri3	B	2	10	0	0	No remarks	No remarks
2008-07-07	Eri3	C	1	1	0	0	No remarks	No remarks
2008-07-07	Eri3	D	4	7	0	0	No remarks	No remarks
2008-07-07	Eri4	A	13	10	0	0	No remarks	No remarks
2008-07-07	Eri4	B	6	12	0	0	No remarks	No remarks
2008-07-07	Eri4	C	16	8	0	0	No remarks	No remarks
2008-07-07	Eri4	D	6	3	0	0	No remarks	No remarks
2009-07-30	Eri1	A	3	19	0	0	No remarks	No remarks
2009-07-30	Eri1	B	1	23	0	0	No remarks	No remarks
2009-07-30	Eri1	C	5	10	0	0	No remarks	No remarks
2009-07-30	Eri1	D	2	35	0	0	No remarks	No remarks
2009-07-30	Eri2	A	0	5	8	1	No remarks	No remarks
2009-07-30	Eri2	B	3	36	7	1	No remarks	No remarks
2009-07-30	Eri2	C	0	7	5	2	No remarks	No remarks
2009-07-30	Eri2	D	1	9	1	0	No remarks	No remarks
2009-07-30	Eri3	A	7	4	0	0	No remarks	No remarks
2009-07-30	Eri3	B	2	0	0	0	No remarks	No remarks
2009-07-30	Eri3	C	1	1	0	0	No remarks	No remarks
2009-07-30	Eri3	D	2	0	0	0	No remarks	No remarks
2009-07-30	Eri4	A	1	2	0	0	No remarks	No remarks
2009-07-30	Eri4	B	0	3	0	0	No remarks	No remarks
2009-07-30	Eri4	C	2	0	0	0	No remarks	No remarks
2009-07-30	Eri4	D	0	6	0	0	No remarks	No remarks
2010-07-22	Eri1	A	32	37	0	0	No remarks	No remarks
2010-07-22	Eri1	B	17	25	0	1	No remarks	No remarks
2010-07-22	Eri1	C	4	20	0	0	No remarks	No remarks
2010-07-22	Eri1	D	18	41	0	0	No remarks	No remarks
2010-07-22	Eri3	A	2	8	0	0	No remarks	No remarks
2010-07-22	Eri3	B	0	5	0	0	No remarks	No remarks
2010-07-22	Eri3	C	0	2	0	0	No remarks	No remarks
2010-07-22	Eri3	D	0	4	0	0	No remarks	No remarks
2010-07-22	Eri4	A	6	29	0	0	No remarks	No remarks
2010-07-22	Eri4	B	4	46	0	0	No remarks	No remarks
2010-07-22	Eri4	C	0	26	0	0	No remarks	No remarks
2010-07-22	Eri4	D	5	37	0	0	No remarks	No remarks
2010-07-30	Eri2	A	3	1	0	1	No remarks	No remarks
2010-07-30	Eri2	B	1	10	0	3	No remarks	No remarks
2010-07-30	Eri2	C	8	11	3	6	No remarks	No remarks
2010-07-30	Eri2	D	10	13	7	7	No remarks	No remarks
2011-07-28	Eri1	A	74	20	0	0	No remarks	No remarks
2011-07-28	Eri1	B	68	16	0	0	No remarks	No remarks
2011-07-28	Eri1	C	33	12	0	0	No remarks	No remarks
2011-07-28	Eri1	D	62	23	0	0	No remarks	No remarks
2011-07-28	Eri2	A	0	2	2	3	No remarks	No remarks
2011-07-28	Eri2	B	1	6	1	1	No remarks	No remarks
2011-07-28	Eri2	C	1	1	0	1	No remarks	No remarks
2011-07-28	Eri2	D	1	7	0	1	No remarks	No remarks
2011-07-28	Eri3	A	18	2	0	0	No remarks	No remarks
2011-07-28	Eri3	B	12	0	0	0	No remarks	No remarks
2011-07-28	Eri3	C	11	0	0	0	No remarks	No remarks
2011-07-28	Eri3	D	21	1	0	0	No remarks	No remarks
2011-07-28	Eri4	A	4	6	0	0	No remarks	No remarks
2011-07-28	Eri4	B	3	12	0	0	No remarks	No remarks
2011-07-28	Eri4	C	0	12	0	0	No remarks	No remarks
2011-07-28	Eri4	D	4	13	0	0	No remarks	No remarks
2012-07-22	Eri3	A	37	6	0	0	No remarks	No remarks
2012-07-22	Eri3	B	21	8	0	0	No remarks	No remarks
