Date	Plot	Section	Buds	Flowers	Senescent	Open	TotalFlowering	Field_Remarks	General_remarks
1996-06-20	Sax1	A-B	-9999	-9999	-9999	-9999	566	Note: Plot enlarged in 1997.	No remarks
1996-06-20	Sax1	C-D	-9999	-9999	-9999	-9999	-9999	Note: Plot enlarged in 1997.	No remarks
1996-06-20	Sax2	A-D	-9999	-9999	-9999	-9999	513	No remarks	No remarks
1996-06-20	Sax3	A-D	-9999	-9999	-9999	-9999	529	No remarks	No remarks
1997-06-16	Sax1	A	-9999	-9999	-9999	-9999	31	No remarks	No remarks
1997-06-16	Sax1	B	-9999	-9999	-9999	-9999	48	No remarks	No remarks
1997-06-16	Sax1	C	-9999	-9999	-9999	-9999	44	No remarks	No remarks
1997-06-16	Sax1	D	-9999	-9999	-9999	-9999	18	No remarks	No remarks
1997-06-16	Sax2	A	-9999	-9999	-9999	-9999	52	No remarks	No remarks
1997-06-16	Sax2	B	-9999	-9999	-9999	-9999	67	No remarks	No remarks
1997-06-16	Sax2	C	-9999	-9999	-9999	-9999	167	No remarks	No remarks
1997-06-16	Sax2	D	-9999	-9999	-9999	-9999	101	No remarks	No remarks
1997-06-16	Sax3	A	-9999	-9999	-9999	-9999	173	No remarks	No remarks
1997-06-16	Sax3	B	-9999	-9999	-9999	-9999	49	No remarks	No remarks
1997-06-16	Sax3	C	-9999	-9999	-9999	-9999	70	No remarks	No remarks
1997-06-16	Sax3	D	-9999	-9999	-9999	-9999	30	No remarks	No remarks
1998-06-15	Sax3	A	0	117	11	0	128	No remarks	No remarks
1998-06-15	Sax3	B	3	59	0	0	62	No remarks	No remarks
1998-06-15	Sax3	C	0	39	1	0	40	No remarks	No remarks
1998-06-15	Sax3	D	0	27	31	0	58	No remarks	No remarks
1998-06-17	Sax1	A	-9999	-9999	-9999	-9999	81	No remarks	No remarks
1998-06-17	Sax1	B	-9999	-9999	-9999	-9999	57	No remarks	No remarks
1998-06-17	Sax1	C	-9999	-9999	-9999	-9999	8	No remarks	No remarks
1998-06-17	Sax1	D	-9999	-9999	-9999	-9999	17	No remarks	No remarks
1998-06-17	Sax2	A	-9999	-9999	-9999	-9999	75	No remarks	No remarks
1998-06-17	Sax2	B	-9999	-9999	-9999	-9999	28	No remarks	No remarks
1998-06-17	Sax2	C	-9999	-9999	-9999	-9999	153	No remarks	No remarks
1998-06-17	Sax2	D	-9999	-9999	-9999	-9999	176	No remarks	No remarks
1999-06-13	Sax1	A	-9999	-9999	-9999	-9999	68	No remarks	No remarks
1999-06-13	Sax1	B	-9999	-9999	-9999	-9999	139	No remarks	No remarks
1999-06-13	Sax1	C	-9999	-9999	-9999	-9999	321	No remarks	No remarks
1999-06-13	Sax1	D	-9999	-9999	-9999	-9999	56	No remarks	No remarks
1999-06-20	Sax2	A	-9999	-9999	-9999	-9999	19	No remarks	No remarks
1999-06-20	Sax2	B	-9999	-9999	-9999	-9999	17	No remarks	No remarks
1999-06-20	Sax2	C	-9999	-9999	-9999	-9999	27	No remarks	No remarks
1999-06-20	Sax2	D	-9999	-9999	-9999	-9999	95	No remarks	No remarks
1999-06-28	Sax3	A	-9999	-9999	-9999	-9999	313	No remarks	No remarks
1999-06-28	Sax3	B	-9999	-9999	-9999	-9999	140	No remarks	No remarks
1999-06-28	Sax3	C	-9999	-9999	-9999	-9999	161	No remarks	No remarks
1999-06-28	Sax3	D	-9999	-9999	-9999	-9999	93	No remarks	No remarks
2000-06-12	Sax1	A	-9999	-9999	-9999	-9999	103	No remarks	No remarks
2000-06-12	Sax1	B	-9999	-9999	-9999	-9999	662	No remarks	No remarks
2000-06-12	Sax1	C	-9999	-9999	-9999	-9999	468	No remarks	No remarks
2000-06-12	Sax1	D	-9999	-9999	-9999	-9999	319	No remarks	No remarks
2000-06-19	Sax2	A	-9999	-9999	-9999	-9999	52	No remarks	No remarks
2000-06-19	Sax2	B	-9999	-9999	-9999	-9999	51	No remarks	No remarks
2000-06-19	Sax2	C	-9999	-9999	-9999	-9999	141	No remarks	No remarks
2000-06-19	Sax2	D	-9999	-9999	-9999	-9999	143	No remarks	No remarks
2000-06-19	Sax3	A	-9999	-9999	-9999	-9999	144	No remarks	No remarks
2000-06-19	Sax3	B	-9999	-9999	-9999	-9999	76	No remarks	No remarks
2000-06-19	Sax3	C	-9999	-9999	-9999	-9999	133	No remarks	No remarks
2000-06-19	Sax3	D	-9999	-9999	-9999	-9999	50	No remarks	No remarks
2001-06-18	Sax1	A	-9999	-9999	-9999	-9999	77	No remarks	No remarks
2001-06-18	Sax1	B	-9999	-9999	-9999	-9999	139	No remarks	No remarks
2001-06-18	Sax1	C	-9999	-9999	-9999	-9999	145	No remarks	No remarks
2001-06-18	Sax1	D	-9999	-9999	-9999	-9999	197	No remarks	No remarks
2001-06-18	Sax2	A	-9999	-9999	-9999	-9999	94	No remarks	No remarks
2001-06-18	Sax2	B	-9999	-9999	-9999	-9999	78	No remarks	No remarks
2001-06-18	Sax2	C	-9999	-9999	-9999	-9999	155	No remarks	No remarks
2001-06-18	Sax2	D	-9999	-9999	-9999	-9999	188	No remarks	No remarks
