Date	Photo_no	Plot	Section	Snow	Cloud_cover	Buds	Male_flowers	Female_flowers	Seed_hairs	Total_Male	Total_Female	TotalCount	Remarks
2008-06-04	NA	SAL1	A	0	0	100	0	0	0	100	100	-9999	No remarks
2008-06-04	NA	SAL1	B	0	0	0	0	0	0	0	0	-9999	No remarks
2008-06-04	NA	SAL1	C	0	0	0	0	0	0	0	0	-9999	No remarks
2008-06-04	NA	SAL2	D	0	0	9	0	0	0	0	9	-9999	No remarks
2008-06-04	NA	SAL1	D	0	0	100	0	0	0	100	0	-9999	No remarks
2008-06-04	NA	SAL2	A	0	0	30	0	0	0	30	0	-9999	No remarks
2008-06-04	NA	SAL2	B	0	0	20	0	0	0	20	0	-9999	No remarks
2008-06-04	NA	SAL2	C	0	0	0	0	0	0	0	0	-9999	No remarks
2008-06-04	NA	SAL4	A	0	0	100	0	0	0	100	0	-9999	No remarks
2008-06-04	NA	SAL4	B	0	0	100	0	0	0	100	0	-9999	No remarks
2008-06-04	NA	SAL4	C	0	0	100	0	0	0	100	0	-9999	No remarks
2008-06-04	NA	SAL4	D	0	0	100	0	0	0	100	0	-9999	No remarks
2008-06-04	NA	SAL3	A	0	0	20	0	10	0	0	10	-9999	No remarks
2008-06-04	NA	SAL3	B	0	0	4	0	4	0	0	4	-9999	No remarks
2008-06-04	NA	SAL3	C	0	0	16	0	7	0	0	23	-9999	No remarks
2008-06-04	NA	SAL3	D	0	0	37	0	0	0	0	0	-9999	No remarks
2008-06-10	SAL2_080610	SAL2	A	0	8	56	0	0	0	56	0	-9999	No remarks
2008-06-10	SAL2_080611	SAL2	B	0	8	100	0	0	0	100	0	-9999	No remarks
2008-06-10	SAL1_080610	SAL1	A	0	8	91	9	0	0	100	91	-9999	No remarks
2008-06-10	SAL1_080610	SAL1	B	0	8	18	0	1	0	0	1	-9999	No remarks
2008-06-10	SAL1_080610	SAL1	C	0	8	41	0	22	0	0	63	-9999	No remarks
2008-06-10	SAL1_080610	SAL1	D	0	8	90	10	0	0	100	0	-9999	No remarks
2008-06-10	SAL3_080610	SAL3	A	0	8	38	0	62	0	0	62	-9999	No remarks
2008-06-10	SAL3_080610	SAL3	B	0	8	30	0	16	0	0	16	-9999	No remarks
2008-06-10	SAL2_080612	SAL2	C	0	8	17	0	3	0	0	20	-9999	No remarks
2008-06-10	SAL2_080613	SAL2	D	0	8	40	0	0	0	0	40	-9999	No remarks
2008-06-10	SAL4_080610	SAL4	A	0	8	100	0	0	0	100	0	-9999	No remarks
2008-06-10	SAL4_080610	SAL4	B	0	8	100	0	0	0	100	0	-9999	No remarks
2008-06-10	SAL4_080610	SAL4	C	0	8	47	53	0	0	100	0	-9999	No remarks
2008-06-10	SAL4_080610	SAL4	D	0	8	81	19	0	0	100	0	-9999	No remarks
