LastName;FirstName;DatasetID;Dataset;SpeciesName;AccSpeciesID;AccSpeciesName;ObservationID;ObsDataID;TraitID;TraitName;DataID;DataName;OriglName;OrigValueStr;OrigUnitStr;ValueKindName;OrigUncertaintyStr;UncertaintyName;Replicates;StdValue;UnitName;RelUncertaintyPercent;OrigObsDataID;ErrorRisk;Reference;Comment
Dainese;Matteo;164;Italian Alps Plant Traits Database;Papaver ernesti-mayeri;92447;Papaver ernesti-mayeri;1337326;9537620;343;Plant life form (Raunkiaer life form);882;Plant life form (Raunkiaer life form);Life form;hemicryptophyte;;;;;;;;;;;Bragazza L (2009) Conservation priority of Italian alpine habitats: a floristic approach based on potential distribution of vascular plant species. Biodiversity and Conservation  18: 2823ñ2835.;
Dainese;Matteo;164;Italian Alps Plant Traits Database;Saxifraga arachnoidea;96910;Saxifraga arachnoidea;1337752;9539750;343;Plant life form (Raunkiaer life form);882;Plant life form (Raunkiaer life form);Life form;hemicryptophyte/chamaephyte;;;;;;;;;;;Bragazza L (2009) Conservation priority of Italian alpine habitats: a floristic approach based on potential distribution of vascular plant species. Biodiversity and Conservation  18: 2823ñ2835.;
Dainese;Matteo;164;Italian Alps Plant Traits Database;Saxifraga callosa;96913;Saxifraga callosa;1337759;9539785;343;Plant life form (Raunkiaer life form);882;Plant life form (Raunkiaer life form);Life form;chamaephyte;;;;;;;;;;;Bragazza L (2009) Conservation priority of Italian alpine habitats: a floristic approach based on potential distribution of vascular plant species. Biodiversity and Conservation  18: 2823ñ2835.;
Dainese;Matteo;164;Italian Alps Plant Traits Database;Saxifraga crustata;96921;Saxifraga crustata;1337762;9539800;343;Plant life form (Raunkiaer life form);882;Plant life form (Raunkiaer life form);Life form;chamaephyte;;;;;;;;;;;Bragazza L (2009) Conservation priority of Italian alpine habitats: a floristic approach based on potential distribution of vascular plant species. Biodiversity and Conservation  18: 2823ñ2835.;
Dainese;Matteo;164;Italian Alps Plant Traits Database;Saxifraga depressa;96924;Saxifraga depressa;1337764;9539810;343;Plant life form (Raunkiaer life form);882;Plant life form (Raunkiaer life form);Life form;chamaephyte;;;;;;;;;;;Bragazza L (2009) Conservation priority of Italian alpine habitats: a floristic approach based on potential distribution of vascular plant species. Biodiversity and Conservation  18: 2823ñ2835.;
Dainese;Matteo;164;Italian Alps Plant Traits Database;Saxifraga diapensioides;96926;Saxifraga diapensioides;1337765;9539815;343;Plant life form (Raunkiaer life form);882;Plant life form (Raunkiaer life form);Life form;chamaephyte;;;;;;;;;;;Bragazza L (2009) Conservation priority of Italian alpine habitats: a floristic approach based on potential distribution of vascular plant species. Biodiversity and Conservation  18: 2823ñ2835.;
Dainese;Matteo;164;Italian Alps Plant Traits Database;Saxifraga florulenta;96930;Saxifraga florulenta;1337769;9539835;343;Plant life form (Raunkiaer life form);882;Plant life form (Raunkiaer life form);Life form;chamaephyte;;;;;;;;;;;Bragazza L (2009) Conservation priority of Italian alpine habitats: a floristic approach based on potential distribution of vascular plant species. Biodiversity and Conservation  18: 2823ñ2835.;
Dainese;Matteo;164;Italian Alps Plant Traits Database;Saxifraga muscoides;96949;Saxifraga muscoides;1337772;9539850;343;Plant life form (Raunkiaer life form);882;Plant life form (Raunkiaer life form);Life form;hemicryptophyte/chamaephyte;;;;;;;;;;;Bragazza L (2009) Conservation priority of Italian alpine habitats: a floristic approach based on potential distribution of vascular plant species. Biodiversity and Conservation  18: 2823ñ2835.;
Dainese;Matteo;164;Italian Alps Plant Traits Database;Saxifraga pedemontana;96953;Saxifraga pedemontana;1337776;9539870;343;Plant life form (Raunkiaer life form);882;Plant life form (Raunkiaer life form);Life form;chamaephyte;;;;;;;;;;;Bragazza L (2009) Conservation priority of Italian alpine habitats: a floristic approach based on potential distribution of vascular plant species. Biodiversity and Conservation  18: 2823ñ2835.;
Dainese;Matteo;164;Italian Alps Plant Traits Database;Saxifraga retusa subsp. retusa;96957;Saxifraga retusa;1337779;9539885;343;Plant life form (Raunkiaer life form);882;Plant life form (Raunkiaer life form);Life form;chamaephyte;;;;;;;;;;;Bragazza L (2009) Conservation priority of Italian alpine habitats: a floristic approach based on potential distribution of vascular plant species. Biodiversity and Conservation  18: 2823ñ2835.;
